"Interval start","Filtered packets"
0,2
10,1
20,2
30,1
40,1
50,26
60,2
70,1
80,3
90,1
100,1
110,7
120,22
130,0
140,4
150,0
160,1
170,8
180,9
190,1
200,4
210,0
220,1
230,3
240,9
250,1
260,3
270,0
280,1
290,4
300,5
310,9
320,4
330,0
340,1
350,4
360,5
370,8
380,4
390,1
400,0
410,3
420,18
430,8
440,4
450,1
460,0
470,3
480,2
490,6
500,6
510,1
520,0
530,4
540,6
550,0
560,12
570,1
580,0
590,3
600,2
610,4
620,10
630,1
640,1
650,3
660,2
670,5
680,8
690,3
700,1
710,0
720,16
730,5
740,0
750,11
760,1
770,0
780,4
790,2
800,0
810,11
820,1
830,1
840,3
850,5
860,1
870,11
880,1
890,1
900,4
910,1
920,5
930,3
940,9
950,1
960,3
970,3
980,9
990,3
1000,9
1010,2
1020,15
1030,1
1040,7
1050,2
1060,9
1070,1
1080,3
1090,1
1100,5
1110,3
1120,3
1130,8
1140,3
1150,1
1160,5
1170,3
1180,1
1190,9
1200,3
1210,0
1220,3
1230,6
1240,0
1250,9
1260,4
1270,0
1280,1
1290,4
1300,0
1310,3
1320,22
1330,0
1340,0
1350,8
1360,1
1370,0
1380,12
1390,1
1400,0
1410,8
1420,1
1430,0
1440,13
1450,1
1460,0
1470,8
1480,1
1490,0
1500,12
1510,1
1520,0
1530,6
1540,3
1550,0
1560,4
1570,9
1580,0
1590,2
1600,1
1610,1
1620,16
1630,9
1640,1
1650,3
1660,5
1670,1
1680,3
1690,9
1700,1
1710,3
1720,5
1730,1
1740,3
1750,4
1760,7
1770,1
1780,6
1790,1
1800,3
1810,2
1820,9
1830,1
1840,2
1850,1
1860,2
1870,3
1880,9
1890,1
1900,6
1910,2
1920,14
1930,2
1940,2
1950,7
1960,4
1970,4
1980,2
1990,3
2000,0
2010,9
2020,4
2030,4
2040,2
2050,3
2060,0
2070,9
2080,3
2090,4
2100,2
2110,3
2120,0
2130,7
2140,6
2150,0
2160,2
2170,3
2180,0
2190,0
2200,11
2210,5
2220,13
2230,3
2240,1
2250,1
2260,11
2270,3
2280,3
2290,4
2300,1
2310,0
2320,11
2330,2
2340,5
2350,3
2360,1
2370,0
2380,5
2390,7
2400,1
2410,4
2420,0
2430,1
2440,2
2450,9
2460,5
2470,4
2480,1
2490,1
2500,2
2510,9
2520,17
2530,3
2540,0
2550,1
2560,3
2570,2
2580,9
2590,6
2600,0
2610,1
2620,1
2630,3
2640,9
2650,2
2660,3
2670,0
2680,1
2690,3
2700,8
2710,6
2720,3
2730,0
2740,1
2750,4
2760,6
2770,8
2780,3
2790,0
2800,1
2810,3
2820,12
2830,14
2840,3
2850,0
2860,1
2870,4
2880,0
2890,14
2900,3
2910,0
2920,1
2930,4
2940,0
2950,10
2960,3
2970,0
2980,1
2990,4
3000,0
3010,1
3020,14
3030,1
3040,1
3050,3
3060,1
3070,1
3080,16
3090,1
3100,0
3110,3
3120,13
3130,1
3140,16
3150,1
3160,0
3170,3
3180,1
3190,1
3200,5
3210,7
3220,0
3230,4
3240,0
3250,2
3260,6
3270,9
3280,1
3290,2
3300,1
3310,2
3320,3
3330,13
3340,1
3350,2
3360,1
3370,2
3380,3
3390,11
3400,3
3410,2
3420,13
3430,2
3440,3
3450,1
3460,9
3470,2
3480,1
3490,2
3500,3
3510,4
3520,9
3530,3
3540,0
3550,3
3560,1
3570,6
3580,9
3590,1
3600,2
3610,2
3620,1
3630,3
3640,5
3650,9
3660,3
3670,2
3680,1
3690,15
3700,5
3710,9
3720,2
3730,1
3740,1
3750,4
3760,0
3770,10
3780,3
3790,1
3800,1
3810,3
3820,4
3830,3
