"Interval start","Filtered packets"
0,33
60,15
120,35
180,18
240,18
300,23
360,21
420,34
480,19
540,22
600,21
660,19
720,33
780,19
840,22
900,23
960,29
1020,35
1080,23
1140,22
1200,21
1260,12
1320,31
1380,22
1440,23
1500,22
1560,17
1620,35
1680,22
1740,22
1800,18
1860,23
1920,33
1980,22
2040,21
2100,18
2160,21
2220,32
2280,21
2340,21
2400,17
2460,22
2520,26
2580,20
2640,18
2700,22
2760,21
2820,34
2880,22
2940,18
3000,20
3060,22
3120,34
3180,18
3240,20
3300,22
3360,22
3420,30
3480,22
3540,20
3600,22
3660,35
3720,18
3780,15
3840,20
3900,21
3960,30
4020,22
4080,21
4140,22
4200,21
4260,29
4320,18
4380,23
4440,21
4500,22
4560,30
4620,22
4680,22
4740,23
4800,17
4860,34
4920,18
4980,17
5040,21
5100,29
5160,33
5220,21
5280,22
5340,18
5400,21
5460,34
5520,22
5580,19
5640,22
5700,22
5760,34
5820,22
5880,18
5940,22
6000,22
6060,34
6120,10
6180,22
6240,22
6300,20
6360,31
6420,17
6480,21
6540,23
6600,21
6660,34
6720,19
6780,22
6840,21
6900,22
6960,30
7020,22
7080,21
7140,34
7200,21
7260,18
7320,15
7380,21
7440,33
7500,19
7560,21
7620,22
7680,22
7740,30
7800,21
7860,22
7920,22
7980,23
8040,31
8100,21
8160,21
8220,22
8280,19
8340,34
8400,17
8460,19
8520,17
8580,22
8640,29
8700,22
8760,22
8820,22
8880,17
8940,63
9000,32
9060,27
9120,18
9180,21
9240,34
9300,21
9360,20
9420,19
9480,22
9540,34
9600,20
9660,12
9720,21
9780,22
9840,35
9900,18
9960,23
10020,23
10080,22
10140,34
10200,17
10260,23
10320,20
10380,33
10440,17
10500,18
10560,22
10620,21
10680,35
10740,21
10800,17
10860,18
10920,18
10980,33
11040,16
11100,21
11160,22
11220,22
11280,30
11340,22
11400,21
11460,21
11520,22
11580,31
11640,22
11700,22
11760,22
11820,19
11880,35
11940,22
12000,23
12060,11
12120,20
12180,31
12240,22
12300,22
12360,18
12420,21
12480,31
12540,23
12600,21
12660,18
12720,22
12780,34
12840,22
12900,22
12960,18
13020,22
13080,34
13140,22
13200,16
13260,17
13320,19
13380,34
13440,18
13500,22
13560,22
13620,21
13680,32
13740,18
13800,46
13860,22
13920,22
13980,18
14040,22
14100,33
14160,23
14220,18
14280,22
14340,22
14400,33
14460,18
14520,15
14580,18
14640,22
14700,34
14760,21
14820,18
14880,23
14940,22
15000,31
15060,21
15120,19
15180,21
15240,21
15300,34
15360,18
15420,21
15480,22
15540,22
15600,30
15660,20
15720,16
15780,22
15840,21
15900,28
15960,22
16020,23
16080,21
16140,18
16200,33
16260,23
16320,21
16380,18
16440,26
16500,40
16560,18
16620,22
16680,20
16740,18
16800,33
16860,22
16920,15
16980,28
17040,21
17100,21
17160,22
17220,22
17280,29
17340,22
17400,23
17460,22
17520,19
17580,33
17640,27
17700,28
17760,26
17820,23
17880,32
17940,21
18000,22
18060,19
18120,20
18180,28
18240,20
18300,18
18360,22
18420,22
18480,33
18540,22
18600,17
18660,18
18720,22
18780,34
18840,20
18900,18
18960,20
19020,22
19080,33
19140,18
19200,22
19260,21
19320,12
19380,35
19440,16
19500,22
19560,22
19620,22
19680,30
19740,21
19800,22
19860,22
19920,17
19980,34
20040,22
20100,21
20160,21
20220,19
20280,35
20340,22
20400,34
20460,16
20520,14
20580,23
20640,20
20700,32
20760,27
20820,23
20880,27
20940,22
21000,36
21060,18
21120,20
21180,22
21240,21
21300,30
21360,21
21420,22
21480,22
21540,22
21600,31
21660,13
21720,21
21780,29
21840,24
21900,40
21960,22
22020,28
22080,27
22140,18
22200,35
22260,22
22320,22
22380,19
22440,21
22500,34
22560,22
22620,18
22680,22
22740,19
22800,29
22860,20
22920,21
22980,18
23040,22
23100,34
23160,21
23220,17
23280,21
23340,54
23400,41
23460,17
23520,23
23580,21
23640,19
23700,34
23760,18
23820,22
23880,21
23940,22
24000,21
24060,21
24120,22
24180,23
24240,22
24300,31
24360,22
24420,21
24480,20
24540,17
24600,34
24660,23
24720,17
24780,22
24840,17
24900,34
24960,22
25020,21
25080,22
25140,18
25200,28
25260,19
25320,22
25380,18
25440,22
25500,35
25560,21
25620,19
25680,20
25740,21
25800,35
25860,22
25920,18
25980,22
26040,22
26100,34
26160,18
26220,22
26280,21
26340,22
26400,32
26460,12
26520,21
26580,22
26640,22
26700,28
26760,20
26820,20
26880,21
26940,23
27000,30
27060,22
27120,20
27180,22
27240,22
27300,41
27360,21
27420,23
27480,22
27540,19
27600,32
27660,16
27720,23
27780,17
27840,22
27900,34
27960,23
28020,22
28080,19
28140,22
28200,32
28260,22
28320,19
28380,34
28440,21
28500,22
28560,23
28620,17
28680,34
28740,22
28800,23
28860,22
28920,15
28980,34
29040,22
29100,22
29160,18
29220,22
29280,34
29340,22
29400,21
29460,17
29520,22
29580,34
29640,19
29700,16
29760,22
29820,22
29880,35
29940,17
30000,22
30060,20
30120,16
30180,33
30240,18
30300,22
30360,22
30420,21
30480,30
30540,20
30600,22
30660,23
30720,22
30780,30
30840,32
30900,20
30960,21
31020,22
31080,16
31140,34
31200,23
31260,23
31320,12
31380,19
31440,35
31500,23
31560,23
31620,18
31680,20
31740,33
31800,22
31860,18
31920,22
31980,23
32040,34
32100,17
32160,22
32220,22
32280,21
32340,34
32400,18
32460,22
32520,13
32580,19
32640,30
32700,23
32760,21
32820,22
32880,19
32940,32
33000,16
33060,22
33120,21
33180,22
33240,29
33300,22
33360,21
33420,22
33480,18
33540,34
33600,22
33660,15
33720,20
33780,17
33840,34
33900,23
33960,20
34020,18
34080,20
34140,33
34200,21
34260,18
34320,22
34380,22
34440,35
34500,22
34560,18
34620,22
34680,27
34740,41
34800,17
34860,16
34920,19
34980,18
35040,33
35100,21
35160,19
35220,22
35280,22
35340,32
35400,16
35460,22
35520,22
35580,23
35640,30
35700,22
35760,20
35820,21
35880,21
35940,37
36000,29
36060,14
36120,21
36180,17
36240,33
36300,22
36360,20
36420,22
36480,17
36540,33
36600,22
36660,21
36720,17
36780,21
36840,33
36900,22
36960,18
37020,18
37080,22
37140,33
37200,16
37260,20
37320,17
37380,22
37440,35
37500,22
37560,18
37620,22
37680,21
37740,64
37800,24
37860,22
37920,34
37980,22
38040,27
38100,18
38160,21
38220,34
38280,20
38340,18
38400,22
38460,16
38520,30
38580,21
38640,18
38700,22
38760,21
38820,33
38880,18
38940,22
39000,19
39060,19
39120,34
39180,18
39240,20
39300,22
39360,22
39420,34
39480,17
39540,28
39600,27
39660,23
39720,20
39780,30
39840,29
39900,22
39960,16
40020,34
40080,21
40140,21
40200,22
40260,18
40320,35
40380,23
40440,19
40500,17
40560,21
40620,34
40680,21
40740,23
40800,17
40860,21
40920,26
40980,21
41040,16
41100,18
41160,23
41220,35
41280,22
41340,30
41400,22
41460,23
41520,21
41580,22
41640,31
41700,23
41760,21
41820,23
41880,18
41940,33
42000,21
42060,22
42120,16
42180,27
42240,40
42300,21
42360,21
42420,18
42480,21
42540,34
42600,23
42660,18
42720,22
42780,22
42840,33
42900,22
42960,18
43020,22
43080,23
43140,30
43200,21
43260,17
43320,12
43380,20
43440,34
43500,17
43560,22
43620,22
43680,22
43740,34
43800,17
43860,21
43920,21
43980,23
44040,30
44100,21
44160,22
44220,23
44280,18
44340,34
44400,21
44460,22
44520,22
44580,22
44640,20
44700,21
44760,22
44820,18
44880,33
44940,22
45000,22
45060,22
45120,18
45180,30
45240,22
45300,22
45360,21
45420,18
45480,34
45540,28
45600,28
45660,16
45720,21
45780,26
45840,21
45900,22
45960,17
46020,19
46080,34
46140,23
46200,18
46260,22
46320,23
46380,32
46440,22
46500,17
46560,22
46620,22
46680,35
46740,19
46800,65
46860,38
46920,23
46980,32
47040,27
47100,25
47160,28
47220,23
47280,34
47340,20
47400,24
47460,23
47520,23
47580,31
47640,25
47700,21
47760,21
47820,30
47880,22
47940,22
48000,20
48060,19
48120,25
48180,12
