"Interval start","Filtered packets"
0,7
10,137
20,104
30,7
40,102
50,104
60,7
70,111
80,106
90,11
100,103
110,104
120,7
130,144
140,104
150,7
160,102
170,104
180,7
190,102
200,104
210,7
220,102
230,104
240,7
250,137
260,104
270,7
280,102
290,104
300,15
310,137
320,104
330,7
340,102
350,104
360,7
370,137
380,104
390,7
400,102
410,104
420,7
430,137
440,104
450,15
460,102
470,104
480,7
490,133
500,104
510,7
520,102
530,104
540,7
550,137
560,104
570,7
580,109
590,104
600,7
610,137
620,104
630,7
640,102
650,104
660,7
670,137
680,104
690,7
700,102
710,104
720,7
730,137
740,104
750,14
760,102
770,104
780,7
790,137
800,104
810,7
820,102
830,104
840,7
850,137
860,104
870,7
880,102
890,104
900,7
910,137
920,112
930,7
940,102
950,104
960,7
970,205
980,2
990,11
1000,207
1010,0
1020,7
1030,241
1040,0
1050,7
1060,206
1070,7
1080,7
1090,241
1100,0
1110,7
1120,206
1130,0
1140,7
1150,241
1160,0
1170,7
1180,206
1190,0
1200,7
1210,210
1220,0
1230,7
1240,213
1250,0
1260,7
1270,241
1280,0
1290,7
1300,206
1310,0
1320,7
1330,241
1340,0
1350,7
1360,206
1370,0
1380,15
1390,241
1400,0
1410,7
1420,206
1430,0
1440,7
1450,241
1460,0
1470,7
1480,206
1490,0
1500,7
1510,241
1520,0
1530,7
1540,206
1550,7
1560,7
1570,241
1580,0
1590,7
1600,206
1610,0
1620,7
1630,241
1640,0
1650,7
1660,206
1670,0
1680,7
1690,241
1700,0
1710,7
1720,214
1730,0
1740,7
1750,214
1760,27
1770,7
1780,102
1790,104
1800,7
1810,137
1820,104
1830,7
1840,102
1850,104
1860,7
1870,192
1880,2
1890,11
1900,214
1910,0
1920,7
1930,241
1940,0
1950,7
1960,206
1970,0
1980,7
1990,241
2000,0
2010,7
2020,206
2030,0
2040,7
2050,241
2060,0
2070,14
2080,206
2090,0
2100,7
2110,241
2120,0
2130,7
2140,206
2150,0
2160,7
2170,241
2180,0
2190,7
2200,206
2210,7
2220,7
2230,241
2240,0
2250,7
2260,206
2270,0
2280,7
2290,241
2300,0
2310,7
2320,182
2330,32
2340,7
2350,137
2360,104
2370,7
2380,54
2390,104
2400,7
2410,137
2420,104
2430,7
2440,102
2450,104
2460,7
2470,145
2480,104
2490,7
2500,102
2510,104
2520,7
2530,105
2540,104
2550,7
2560,102
2570,104
2580,7
2590,137
2600,104
2610,14
2620,102
2630,104
2640,7
2650,137
2660,104
2670,7
2680,102
2690,104
2700,7
2710,137
2720,104
2730,7
2740,102
2750,104
2760,7
2770,192
2780,9
2790,11
2800,207
2810,0
2820,7
2830,241
2840,0
2850,7
2860,206
2870,0
2880,7
2890,241
2900,0
2910,7
2920,214
2930,0
2940,7
2950,241
2960,0
2970,7
2980,206
2990,0
3000,7
3010,241
3020,0
3030,7
3040,213
3050,0
3060,7
3070,241
3080,0
3090,7
3100,206
3110,0
3120,7
3130,241
3140,0
3150,7
3160,206
3170,0
3180,7
3190,249
3200,0
3210,7
3220,206
3230,0
3240,7
3250,241
3260,0
3270,7
3280,206
3290,0
3300,7
3310,241
3320,0
3330,7
3340,206
3350,7
3360,7
3370,241
3380,0
3390,7
3400,206
3410,0
3420,7
3430,241
3440,0
3450,7
3460,206
3470,0
3480,7
3490,241
3500,8
3510,7
3520,139
3530,67
3540,7
3550,137
3560,104
3570,7
3580,102
3590,104
3600,7
3610,137
3620,104
3630,14
3640,102
3650,104
3660,7
3670,137
3680,107
3690,11
3700,103
3710,104
3720,7
3730,137
3740,104
3750,7
3760,102
3770,104
3780,7
3790,137
3800,111
3810,7
3820,102
3830,104
3840,7
3850,137
3860,104
3870,7
3880,102
3890,104
3900,7
3910,137
3920,104
3930,7
3940,102
3950,111
3960,7
3970,137
3980,104
3990,7
4000,102
4010,104
4020,7
4030,137
4040,104
4050,7
4060,102
4070,104
4080,7
4090,144
4100,104
4110,7
4120,102
4130,104
4140,7
4150,137
4160,104
4170,7
4180,102
4190,104
4200,7
4210,137
4220,104
4230,7
4240,102
4250,104
4260,7
4270,145
4280,104
4290,7
4300,88
4310,104
4320,7
4330,137
4340,104
4350,7
4360,102
4370,104
4380,7
4390,137
4400,104
4410,7
4420,102
4430,112
4440,7
4450,117
4460,124
4470,7
4480,1
4490,205
4500,7
4510,35
4520,166
4530,7
4540,0
4550,206
4560,7
4570,210
4580,10
4590,11
4600,207
4610,0
4620,7
4630,241
4640,0
4650,7
4660,206
4670,0
4680,7
4690,241
4700,0
4710,7
4720,206
4730,0
4740,7
4750,241
4760,7
4770,7
4780,206
4790,0
4800,7
4810,241
4820,0
4830,7
4840,206
4850,0
4860,7
4870,241
4880,0
4890,7
4900,209
4910,1
4920,7
4930,241
4940,0
4950,7
4960,206
4970,0
4980,7
4990,241
5000,0
5010,7
5020,206
5030,0
5040,7
5050,241
5060,0
5070,7
5080,206
5090,0
5100,7
5110,241
5120,17
5130,14
5140,156
5150,0
5160,7
5170,241
5180,0
5190,7
5200,206
5210,0
5220,7
5230,241
5240,0
5250,7
5260,214
5270,0
5280,7
5290,221
5300,20
5310,7
5320,102
5330,104
5340,7
5350,137
5360,104
5370,7
5380,102
5390,104
5400,7
5410,145
5420,104
5430,7
5440,102
5450,104
5460,7
5470,227
5480,2
5490,11
5500,207
5510,0
5520,7
5530,241
5540,0
5550,7
5560,206
5570,7
5580,7
5590,241
5600,0
5610,7
5620,206
5630,0
5640,7
5650,241
5660,0
5670,7
5680,206
5690,0
5700,7
5710,241
5720,0
5730,14
5740,206
5750,0
5760,7
5770,241
5780,0
5790,7
5800,156
5810,0
5820,7
5830,241
5840,0
5850,7
5860,213
5870,0
5880,7
5890,241
5900,0
5910,7
5920,206
5930,0
5940,7
5950,241
5960,0
5970,7
5980,206
5990,0
6000,7
6010,241
6020,0
6030,15
6040,206
6050,0
6060,7
6070,241
6080,0
6090,7
6100,206
6110,0
6120,7
6130,241
6140,0
6150,7
6160,206
6170,0
6180,7
6190,241
6200,0
6210,15
6220,206
6230,0
6240,7
6250,241
6260,0
6270,7
6280,206
6290,0
6300,7
6310,241
6320,0
6330,7
6340,206
6350,0
6360,14
6370,234
6380,2
6390,11
6400,207
6410,0
6420,7
6430,241
6440,0
6450,7
6460,206
6470,0
6480,15
6490,241
6500,0
6510,7
6520,206
6530,0
6540,7
6550,241
6560,0
6570,7
6580,206
6590,0
6600,7
6610,248
6620,0
6630,7
6640,206
6650,0
6660,7
6670,241
6680,0
6690,7
6700,206
6710,0
6720,7
6730,241
6740,0
6750,14
6760,172
6770,34
6780,7
6790,203
6800,38
6810,7
6820,102
6830,104
6840,7
6850,137
6860,104
6870,7
6880,102
6890,104
6900,7
6910,137
6920,111
6930,7
6940,102
6950,104
6960,7
6970,137
6980,104
6990,7
7000,102
7010,104
7020,7
7030,137
7040,111
7050,7
7060,102
7070,104
7080,7
7090,137
7100,104
7110,7
7120,102
7130,104
7140,7
7150,137
7160,104
7170,7
7180,102
7190,104
7200,7
7210,144
7220,104
7230,7
7240,102
7250,104
7260,7
7270,207
7280,2
7290,11
7300,207
7310,0
7320,7
7330,241
7340,8
7350,7
7360,206
7370,0
7380,7
7390,241
7400,0
7410,7
7420,206
7430,0
7440,7
7450,241
7460,0
7470,14
7480,207
7490,0
7500,7
7510,241
7520,0
7530,7
7540,206
7550,0
7560,7
7570,241
7580,0
7590,7
7600,206
7610,0
7620,7
7630,241
7640,0
7650,15
7660,206
7670,0
7680,7
7690,241
7700,0
7710,7
7720,179
7730,0
7740,7
7750,241
7760,0
7770,7
7780,206
7790,8
7800,7
7810,241
7820,0
7830,7
7840,206
7850,0
7860,7
7870,241
7880,0
7890,7
7900,206
7910,0
7920,7
7930,241
7940,0
7950,14
7960,206
7970,0
7980,7
7990,241
8000,0
8010,7
8020,174
8030,32
8040,7
8050,147
8060,94
8070,7
8080,110
8090,104
8100,7
8110,137
8120,104
8130,7
8140,102
8150,117
8160,20
8170,219
8180,2
8190,11
8200,207
8210,0
8220,7
8230,225
8240,0
8250,15
8260,206
8270,0
8280,7
8290,241
8300,0
8310,7
8320,206
8330,0
8340,7
8350,241
8360,0
8370,7
8380,197
8390,8
8400,7
8410,241
8420,0
8430,7
8440,202
8450,0
8460,7
8470,241
8480,0
8490,7
8500,206
8510,0
8520,7
8530,248
8540,0
8550,7
8560,206
8570,0
8580,7
8590,241
8600,0
