"Interval start","Filtered packets"
0,4
10,3
20,2
30,1
40,3
50,8
60,0
70,4
80,2
90,2
100,1
110,3
120,7
130,8
140,2
150,3
160,2
170,1
180,2
190,4
200,2
210,0
220,6
230,2
240,2
250,2
260,5
270,3
280,1
290,4
300,8
310,3
320,1
330,2
340,4
350,3
360,2
370,3
380,3
390,1
400,2
410,3
420,5
430,2
440,3
450,10
460,0
470,3
480,2
490,3
500,2
510,2
520,3
530,1
540,2
550,3
560,4
570,0
580,9
590,3
600,3
610,1
620,4
630,3
640,1
650,2
660,4
670,4
680,0
690,3
700,2
710,2
720,4
730,4
740,2
750,8
760,1
770,3
780,3
790,2
800,3
810,2
820,2
830,1
840,3
850,3
860,2
870,1
880,3
890,2
900,2
910,1
920,7
930,0
940,0
950,1
960,1
970,2
980,0
990,0
1000,0
1010,1
1020,4
1030,0
1040,0
1050,0
1060,0
1070,9
1080,2
1090,2
1100,2
1110,2
1120,3
1130,2
1140,2
1150,4
1160,1
1170,2
1180,4
1190,3
1200,0
1210,6
1220,2
1230,2
1240,16
1250,5
1260,3
1270,1
1280,4
1290,3
1300,2
1310,1
1320,5
1330,4
1340,1
1350,3
1360,3
1370,2
1380,6
1390,4
1400,2
1410,3
1420,1
1430,3
1440,3
1450,1
1460,3
1470,1
1480,3
1490,2
1500,1
1510,5
1520,3
1530,0
1540,3
1550,10
1560,2
1570,2
1580,4
1590,2
1600,1
1610,2
1620,6
1630,4
1640,0
1650,3
1660,2
1670,2
1680,2
1690,3
1700,3
1710,1
1720,8
1730,3
1740,3
1750,1
1760,3
1770,2
1780,2
1790,2
1800,4
1810,4
1820,0
1830,3
1840,2
1850,3
1860,2
1870,3
1880,2
1890,2
1900,6
1910,4
1920,6
1930,1
1940,3
1950,2
1960,2
1970,2
1980,2
1990,4
2000,1
2010,1
2020,2
2030,4
2040,2
2050,3
2060,3
2070,6
2080,2
2090,4
2100,2
2110,3
2120,1
2130,2
2140,4
2150,3
2160,2
2170,4
2180,2
2190,0
2200,4
2210,8
2220,5
2230,2
2240,3
2250,4
2260,0
2270,3
2280,5
2290,2
2300,1
2310,3
2320,3
2330,7
2340,2
2350,4
2360,3
2370,0
2380,4
2390,3
2400,2
2410,2
2420,3
2430,4
2440,0
2450,3
2460,3
2470,8
2480,1
2490,3
2500,2
2510,2
2520,4
2530,5
2540,3
2550,0
2560,2
2570,3
2580,3
2590,2
2600,3
2610,8
2620,2
2630,1
2640,3
2650,5
2660,0
2670,3
2680,2
2690,4
2700,2
2710,3
2720,2
2730,2
2740,0
2750,4
2760,4
2770,2
2780,16
2790,3
2800,2
2810,0
2820,7
2830,3
2840,2
2850,1
2860,3
2870,4
2880,0
2890,4
2900,2
2910,2
2920,6
2930,4
2940,6
2950,2
2960,1
2970,3
2980,4
2990,1
3000,2
3010,4
3020,2
3030,1
3040,8
3050,5
3060,1
3070,4
3080,4
3090,2
3100,1
3110,2
3120,6
3130,3
3140,0
3150,4
3160,2
3170,2
3180,1
3190,10
3200,3
3210,1
3220,3
3230,2
3240,5
3250,4
3260,2
3270,4
3280,1
3290,1
3300,4
3310,4
3320,1
3330,3
3340,2
3350,9
3360,1
3370,3
3380,4
3390,1
3400,2
3410,3
3420,5
3430,1
3440,4
3450,2
3460,2
3470,0
3480,3
3490,5
3500,7
3510,2
3520,3
3530,2
3540,1
3550,4
3560,2
3570,2
3580,1
3590,4
3600,4
3610,1
3620,3
3630,8
3640,2
3650,1
3660,4
3670,3
3680,2
3690,5
3700,2
3710,3
3720,2
3730,3
3740,5
3750,2
3760,2
3770,4
3780,2
3790,3
3800,7
3810,3
3820,3
3830,1
3840,2
3850,4
3860,2
3870,2
3880,3
3890,6
3900,2
3910,2
3920,2
3930,4
3940,1
3950,11
3960,2
3970,3
3980,0
3990,6
4000,3
4010,2
4020,1
4030,5
4040,2
4050,0
4060,4
