"Interval start","Filtered packets"
0,21
60,12
120,23
180,16
240,17
300,21
360,14
420,23
480,13
540,21
600,14
660,15
720,22
780,13
840,14
900,11
960,4
1020,13
1080,13
1140,16
1200,31
1260,14
1320,18
1380,19
1440,13
1500,22
1560,13
1620,17
1680,20
1740,13
1800,16
1860,19
1920,16
1980,14
2040,20
2100,15
2160,20
2220,17
2280,21
2340,16
2400,14
2460,19
2520,17
2580,19
2640,17
2700,13
2760,27
2820,20
2880,18
2940,17
3000,22
3060,14
3120,17
3180,20
3240,17
3300,23
3360,14
3420,14
3480,22
3540,14
3600,19
3660,19
3720,18
3780,19
3840,19
3900,22
3960,16
4020,14
4080,18
4140,18
4200,14
4260,30
4320,16
4380,19
4440,14
4500,15
4560,24
4620,16
4680,16
4740,19
4800,19
4860,25
4920,16
4980,10
5040,5
5100,27
5160,15
5220,21
5280,14
5340,21
5400,22
5460,17
5520,20
5580,19
5640,18
5700,23
5760,18
5820,23
5880,13
5940,14
6000,21
6060,17
6120,15
6180,21
6240,15
6300,15
6360,26
6420,13
6480,22
6540,14
6600,22
6660,19
6720,31
6780,14
6840,20
6900,22
6960,36
7020,26
7080,13
7140,25
7200,20
7260,14
7320,28
7380,19
7440,24
7500,19
7560,18
7620,22
7680,18
7740,25
7800,14
7860,13
7920,19
7980,15
8040,24
8100,17
8160,184
8220,26
8280,14
8340,27
8400,18
8460,15
8520,27
8580,17
8640,24
8700,18
8760,13
8820,21
8880,13
8940,10
9000,10
9060,2
9120,19
9180,13
9240,20
9300,25
9360,13
9420,21
9480,23
9540,18
9600,24
9660,14
9720,19
9780,30
9840,24
9900,26
9960,16
10020,13
10080,23
10140,22
10200,18
10260,23
10320,15
10380,25
10440,23
10500,17
10560,20
10620,20
10680,19
10740,24
10800,24
10860,24
10920,17
10980,22
11040,20
11100,18
11160,21
11220,20
11280,32
11340,14
11400,15
11460,20
11520,12
11580,20
11640,23
11700,15
11760,24
11820,12
11880,17
11940,22
12000,17
12060,22
12120,16
12180,23
12240,23
12300,17
12360,18
12420,19
12480,22
12540,16
12600,27
12660,14
12720,26
12780,20
12840,15
12900,27
12960,14
13020,22
13080,18
13140,14
13200,20
13260,19
13320,20
13380,17
13440,24
13500,14
13560,14
13620,22
13680,17
13740,16
13800,31
13860,16
13920,23
13980,16
14040,19
14100,27
14160,14
14220,16
14280,30
14340,15
14400,23
14460,20
14520,15
14580,23
14640,22
14700,31
14760,19
14820,18
14880,22
14940,19
15000,23
15060,17
15120,20
15180,19
15240,18
15300,17
15360,21
15420,16
15480,24
15540,17
15600,30
15660,18
15720,19
15780,29
15840,17
15900,25
15960,15
16020,16
16080,19
16140,19
16200,30
16260,15
16320,16
16380,20
16440,5
16500,15
16560,5
16620,19
16680,22
16740,18
16800,23
16860,20
16920,15
16980,19
17040,24
17100,22
17160,22
17220,14
17280,20
17340,31
17400,16
17460,26
17520,19
17580,18
17640,15
17700,4
17760,17
17820,17
17880,17
17940,24
18000,15
18060,21
18120,16
18180,21
18240,14
18300,24
18360,19
18420,21
18480,27
18540,22
18600,25
18660,16
18720,31
18780,19
18840,24
18900,28
18960,16
19020,23
19080,23
19140,22
19200,19
19260,21
19320,18
19380,20
19440,22
19500,16
19560,23
19620,14
19680,24
19740,19
19800,26
19860,16
19920,17
19980,23
20040,17
20100,35
20160,20
20220,15
20280,23
20340,17
20400,20
20460,21
20520,15
20580,23
20640,17
20700,20
20760,5
20820,9
20880,19
20940,17
21000,30
21060,22
21120,13
21180,21
21240,19
21300,26
21360,15
21420,21
21480,17
21540,16
21600,32
21660,13
21720,19
21780,7
21840,4
21900,17
21960,12
22020,11
22080,13
22140,20
22200,25
22260,15
22320,23
22380,14
22440,22
22500,26
22560,16
22620,16
22680,26
22740,19
22800,30
22860,20
22920,20
22980,19
23040,15
23100,31
23160,17
23220,21
23280,14
23340,16
23400,26
23460,16
23520,15
23580,17
23640,18
23700,22
23760,14
23820,21
23880,18
23940,15
24000,24
24060,16
24120,19
24180,18
24240,14
24300,30
24360,17
24420,15
24480,20
24540,15
24600,31
24660,17
24720,19
24780,20
24840,17
24900,38
24960,22
25020,16
25080,25
25140,23
25200,27
25260,19
25320,21
25380,24
25440,18
25500,32
25560,20
25620,22
25680,15
25740,19
25800,30
25860,19
25920,24
25980,20
26040,32
26100,23
26160,25
26220,18
26280,25
26340,23
26400,22
26460,26
26520,22
26580,20
26640,35
26700,22
26760,23
26820,17
26880,16
26940,25
27000,21
27060,24
27120,18
27180,16
27240,23
27300,30
27360,27
27420,15
27480,35
27540,13
27600,23
27660,24
27720,18
27780,17
27840,18
27900,23
27960,18
28020,22
28080,18
28140,27
28200,26
28260,20
28320,19
28380,22
28440,23
28500,21
28560,21
28620,15
28680,19
28740,26
28800,6
28860,10
28920,9
28980,21
29040,32
29100,19
29160,25
29220,13
29280,21
29340,27
29400,21
29460,20
29520,25
29580,24
29640,21
