"Interval start","All Packets"
0,24
10,154
20,115
30,30
40,108
50,128
60,18
70,129
80,112
90,17
100,120
110,117
120,43
130,162
140,113
150,10
160,104
170,123
180,30
190,117
200,112
210,13
220,120
230,110
240,27
250,167
260,115
270,9
280,107
290,122
300,24
310,164
320,130
330,12
340,107
350,120
360,20
370,153
380,111
390,22
400,115
410,109
420,31
430,163
440,112
450,22
460,114
470,116
480,12
490,151
500,122
510,13
520,104
530,126
540,24
550,155
560,118
570,11
580,116
590,116
600,20
610,171
620,119
630,18
640,105
650,116
660,14
670,162
680,121
690,21
700,107
710,106
720,34
730,166
740,110
750,36
760,115
770,106
780,13
790,162
800,111
810,15
820,117
830,126
840,12
850,156
860,107
870,21
880,106
890,118
900,27
910,146
920,117
930,22
940,111
950,110
960,17
970,231
980,8
990,23
1000,218
1010,12
1020,24
1030,256
1040,19
1050,15
1060,213
1070,12
1080,12
1090,264
1100,6
1110,27
1120,219
1130,20
1140,17
1150,257
1160,8
1170,24
1180,216
1190,28
1200,14
1210,238
1220,6
1230,16
1240,234
1250,19
1260,26
1270,259
1280,13
1290,19
1300,207
1310,10
1320,31
1330,266
1340,18
1350,20
1360,210
1370,1
1380,30
1390,258
1400,18
1410,17
1420,214
1430,3
1440,29
1450,259
1460,9
1470,25
1480,216
1490,8
1500,17
1510,258
1520,5
1530,18
1540,216
1550,33
1560,19
1570,268
1580,13
1590,8
1600,216
1610,11
1620,38
1630,264
1640,11
1650,23
1660,210
1670,4
1680,23
1690,272
1700,5
1710,24
1720,219
1730,5
1740,20
1750,230
1760,47
1770,20
1780,109
1790,121
1800,18
1810,153
1820,115
1830,24
1840,110
1850,109
1860,17
1870,202
1880,20
1890,21
1900,228
1910,16
1920,25
1930,260
1940,5
1950,18
1960,218
1970,12
1980,28
1990,256
2000,3
2010,21
2020,213
2030,8
2040,20
2050,267
2060,8
2070,25
2080,223
2090,8
2100,17
2110,255
2120,16
2130,19
2140,222
2150,8
2160,16
2170,257
2180,2
2190,33
2200,233
2210,11
2220,24
2230,260
2240,3
2250,17
2260,226
2270,17
2280,25
2290,264
2300,7
2310,15
2320,189
2330,46
2340,27
2350,158
2360,112
2370,14
2380,75
2390,127
2400,15
2410,169
2420,111
2430,11
2440,112
2450,116
2460,12
2470,166
2480,120
2490,23
2500,113
2510,110
2520,30
2530,123
2540,106
2550,23
2560,117
2570,105
2580,19
2590,169
2600,108
2610,18
2620,115
2630,124
2640,16
2650,154
2660,116
2670,10
2680,109
2690,114
2700,42
2710,155
2720,109
2730,8
2740,114
2750,115
2760,14
2770,224
2780,19
2790,14
2800,227
2810,8
2820,26
2830,264
2840,16
2850,19
2860,213
2870,7
2880,13
2890,265
2900,12
2910,16
2920,236
2930,16
2940,13
2950,260
2960,8
2970,8
2980,216
2990,32
3000,17
3010,259
3020,6
3030,15
3040,222
3050,15
3060,19
3070,267
3080,12
3090,10
3100,210
3110,16
3120,23
3130,271
3140,21
3150,16
3160,208
3170,7
3180,14
3190,266
3200,20
3210,27
3220,212
3230,14
3240,15
3250,264
3260,7
3270,23
3280,221
3290,9
3300,12
3310,265
3320,15
3330,15
3340,216
3350,25
3360,15
3370,257
3380,9
3390,12
3400,219
3410,16
3420,34
3430,263
3440,12
3450,11
3460,215
3470,8
3480,12
3490,269
3500,23
3510,18
3520,152
3530,76
3540,11
3550,160
3560,116
3570,16
3580,114
3590,120
3600,16
3610,156
3620,117
3630,29
3640,114
3650,118
3660,17
3670,154
3680,110
3690,38
3700,112
3710,122
3720,23
3730,156
3740,108
3750,14
3760,106
3770,125
3780,25
3790,156
3800,120
3810,16
3820,113
3830,108
3840,24
3850,165
3860,113
3870,16
3880,107
3890,114
3900,19
3910,159
3920,122
3930,21
3940,106
3950,121
3960,21
3970,143
3980,110
3990,34
4000,119
4010,109
4020,24
4030,159
4040,108
4050,16
4060,113
4070,119
4080,16
4090,170
4100,108
4110,20
4120,110
4130,116
4140,25
4150,168
4160,116
4170,17
4180,107
4190,115
4200,26
4210,158
4220,122
4230,18
4240,109
4250,108
4260,10
4270,170
4280,122
4290,32
4300,93
4310,110
4320,13
4330,167
4340,120
4350,18
4360,115
4370,106
4380,16
4390,162
4400,110
4410,12
4420,118
4430,135
4440,15
4450,143
4460,133
4470,13
4480,6
4490,218
4500,28
4510,59
4520,169
4530,23
4540,3
4550,211
4560,16
4570,240
4580,24
4590,29
4600,224
4610,5
4620,10
4630,262
4640,17
4650,22
4660,218
4670,2
4680,18
4690,263
4700,7
4710,20
4720,230
4730,6
4740,17
4750,265
4760,14
4770,12
4780,213
4790,36
4800,14
4810,275
4820,9
4830,14
4840,217
4850,12
4860,27
4870,266
4880,9
4890,26
4900,219
4910,9
4920,9
4930,274
4940,20
4950,9
4960,212
4970,3
4980,19
4990,263
5000,14
5010,32
5020,211
5030,1
5040,23
5050,252
5060,1
5070,17
5080,224
5090,9
5100,13
5110,262
5120,23
5130,21
5140,161
5150,22
5160,12
5170,270
5180,12
5190,24
5200,218
5210,6
5220,25
5230,264
5240,8
5250,23
5260,225
5270,6
5280,14
5290,252
5300,34
5310,15
5320,114
5330,108
5340,10
5350,156
5360,123
5370,26
