"Interval start","Filtered packets"
0,73
60,55
120,67
180,55
240,58
300,63
360,51
420,72
480,51
540,49
600,64
660,50
720,80
780,63
840,42
900,39
960,51
1020,57
1080,59
1140,66
1200,63
1260,49
1320,65
1380,54
1440,62
1500,60
1560,51
1620,63
1680,57
1740,63
1800,50
1860,54
1920,56
1980,47
2040,65
2100,56
2160,61
2220,65
2280,52
2340,78
2400,57
2460,54
2520,62
2580,63
2640,39
2700,63
2760,61
2820,63
2880,63
2940,51
3000,50
3060,56
3120,63
3180,62
3240,54
3300,62
3360,47
3420,61
3480,58
3540,53
3600,65
3660,66
3720,48
3780,55
3840,52
3900,64
3960,55
4020,57
4080,48
4140,53
4200,62
4260,67
4320,57
4380,62
4440,47
4500,54
4560,72
4620,53
4680,56
4740,61
4800,58
4860,72
4920,52
4980,57
5040,43
5100,47
5160,60
5220,63
5280,55
5340,62
5400,54
5460,76
5520,32
5580,50
5640,60
5700,58
5760,74
5820,50
5880,50
5940,61
6000,62
6060,69
6120,48
6180,59
6240,45
6300,56
6360,74
6420,56
6480,57
6540,56
6600,57
6660,64
6720,60
6780,59
6840,51
6900,64
6960,67
7020,59
7080,61
7140,71
7200,68
7260,47
7320,53
7380,65
7440,64
7500,65
7560,60
7620,57
7680,49
7740,71
7800,57
7860,43
7920,54
7980,41
8040,55
8100,50
8160,48
8220,61
8280,61
8340,72
8400,62
8460,59
8520,66
8580,64
8640,72
8700,54
8760,52
8820,62
8880,57
8940,76
9000,45
9060,47
9120,46
9180,59
9240,70
9300,59
9360,62
9420,52
9480,54
9540,77
9600,60
9660,75
9720,56
9780,50
9840,64
9900,59
9960,66
10020,57
10080,56
10140,62
10200,58
10260,62
10320,57
10380,75
10440,60
10500,52
10560,55
10620,55
10680,86
10740,54
10800,71
10860,51
10920,52
10980,78
11040,46
11100,50
11160,62
11220,46
11280,66
11340,56
11400,56
11460,59
11520,53
11580,61
11640,51
11700,72
11760,59
11820,59
11880,70
11940,56
12000,69
12060,59
12120,58
12180,64
12240,60
12300,49
12360,56
12420,62
12480,73
12540,61
12600,57
12660,52
12720,52
12780,81
12840,63
12900,53
12960,63
13020,41
13080,65
13140,65
13200,56
13260,56
13320,59
13380,57
13440,54
13500,63
13560,62
13620,55
13680,69
13740,25
13800,107
13860,63
13920,52
13980,61
14040,53
14100,62
14160,61
14220,51
14280,66
14340,60
14400,72
14460,47
14520,64
14580,61
14640,55
14700,162
14760,63
14820,59
14880,62
14940,53
15000,78
15060,53
15120,64
15180,40
15240,57
15300,72
15360,62
15420,60
15480,62
15540,47
15600,87
15660,57
15720,60
15780,57
15840,61
15900,70
15960,60
16020,63
16080,60
16140,64
16200,69
16260,52
16320,52
16380,56
16440,53
16500,60
16560,57
16620,37
16680,66
16740,67
16800,74
16860,63
16920,61
16980,61
17040,59
17100,60
17160,65
17220,51
17280,64
17340,48
17400,69
17460,59
17520,59
17580,64
17640,40
17700,41
17760,58
17820,57
17880,76
17940,67
18000,58
18060,50
18120,55
18180,77
18240,49
18300,58
18360,52
18420,45
18480,75
18540,53
18600,66
18660,58
18720,57
18780,64
18840,53
18900,65
18960,62
19020,73
19080,60
19140,60
19200,75
19260,57
19320,57
19380,70
19440,44
19500,52
19560,54
19620,59
19680,74
19740,57
19800,55
19860,54
19920,54
19980,73
20040,75
20100,56
20160,54
20220,51
20280,73
20340,60
20400,72
20460,59
20520,44
20580,58
20640,60
20700,70
20760,51
20820,47
20880,42
20940,53
21000,85
21060,67
21120,58
21180,58
21240,46
21300,72
21360,59
21420,48
21480,59
21540,49
21600,72
21660,38
21720,59
21780,54
21840,44
21900,69
21960,42
22020,41
22080,55
22140,59
22200,82
22260,53
22320,56
22380,57
22440,55
22500,72
22560,62
22620,56
22680,49
22740,57
22800,83
22860,60
22920,61
22980,62
23040,53
23100,67
23160,67
23220,65
23280,55
23340,75
23400,64
23460,44
23520,47
23580,50
23640,49
23700,58
23760,50
23820,40
23880,62
23940,53
24000,67
24060,49
24120,32
24180,56
24240,52
24300,64
24360,52
24420,44
24480,37
24540,40
24600,72
24660,60
24720,58
24780,55
24840,43
24900,77
24960,61
25020,59
25080,65
25140,57
25200,68
25260,64
25320,58
25380,60
25440,59
25500,76
25560,47
25620,59
25680,59
25740,55
25800,78
25860,56
25920,50
25980,59
26040,60
26100,70
26160,66
26220,56
26280,56
26340,62
26400,84
26460,65
26520,61
26580,53
26640,54
26700,72
26760,55
26820,61
26880,56
26940,64
27000,57
27060,74
27120,55
27180,59
27240,64
27300,87
27360,53
27420,56
27480,58
27540,63
27600,69
27660,57
27720,46
27780,57
27840,63
27900,76
27960,62
28020,50
28080,53
28140,57
28200,81
28260,59
28320,56
28380,75
28440,46
28500,61
28560,63
28620,49
28680,73
28740,42
28800,45
28860,47
28920,56
28980,71
29040,59
29100,63
29160,52
29220,59
29280,73
29340,58
29400,74
29460,51
29520,57
29580,74
29640,51
29700,63
29760,67
29820,51
29880,59
29940,51
30000,64
30060,60
30120,63
30180,59
30240,57
30300,64
30360,60
30420,74
30480,66
30540,65
30600,50
30660,62
30720,55
30780,70
30840,78
30900,49
30960,67
31020,57
31080,61
31140,75
31200,70
31260,56
31320,33
31380,50
31440,60
31500,80
31560,66
31620,44
31680,51
31740,69
31800,67
31860,49
31920,58
31980,52
32040,64
32100,62
32160,66
32220,56
32280,57
32340,59
32400,61
32460,51
32520,72
32580,56
32640,59
32700,54
32760,42
32820,58
32880,63
32940,65
33000,62
33060,46
33120,63
33180,67
33240,67
33300,56
33360,70
33420,50
33480,51
33540,87
33600,75
33660,57
33720,51
33780,41
33840,72
33900,58
33960,64
34020,59
34080,55
34140,73
34200,46
34260,65
34320,60
34380,57
34440,80
34500,47
34560,60
34620,51
34680,49
34740,67
34800,63
34860,39
34920,57
34980,62
35040,69
35100,70
35160,56
35220,43
35280,61
35340,66
35400,68
35460,57
35520,55
35580,52
35640,67
35700,62
35760,59
35820,58
35880,54
35940,45
36000,56
36060,49
36120,66
36180,62
36240,64
36300,56
36360,61
36420,68
36480,64
36540,65
36600,67
36660,52
36720,61
36780,64
36840,63
36900,63
36960,52
37020,45
37080,60
37140,78
37200,68
37260,58
37320,56
37380,46
37440,78
37500,59
37560,63
37620,67
37680,50
37740,72
37800,66
37860,59
37920,72
37980,49
38040,50
38100,46
38160,63
38220,71
38280,59
38340,64
38400,54
38460,48
38520,67
38580,60
38640,47
38700,62
38760,57
38820,73
38880,61
38940,59
39000,67
39060,57
39120,66
39180,50
39240,60
39300,60
39360,57
39420,70
39480,50
39540,34
39600,54
39660,58
39720,51
39780,83
39840,67
39900,57
39960,60
40020,78
40080,61
40140,53
40200,60
40260,44
40320,74
40380,60
40440,51
40500,63
40560,52
40620,60
40680,56
40740,64
40800,70
40860,58
40920,63
40980,47
41040,66
41100,58
41160,57
41220,80
41280,42
41340,72
41400,58
41460,59
41520,57
41580,58
41640,65
41700,52
41760,56
41820,56
41880,60
41940,78
42000,51
42060,49
42120,43
42180,50
42240,59
42300,60
42360,49
42420,51
42480,57
42540,69
42600,63
42660,60
42720,47
42780,53
42840,69
42900,70
42960,60
43020,59
43080,50
43140,63
43200,63
43260,53
43320,71
43380,70
43440,62
43500,59
43560,57
43620,63
43680,64
43740,71
43800,54
43860,50
43920,67
43980,60
44040,68
44100,64
44160,42
44220,62
44280,56
44340,83
44400,72
44460,60
44520,50
44580,65
44640,59
44700,58
44760,57
44820,57
44880,70
44940,60
45000,48
45060,65
45120,56
45180,69
45240,50
45300,51
45360,57
45420,56
45480,63
45540,39
45600,24
45660,43
45720,57
45780,67
45840,60
45900,62
45960,46
46020,66
46080,77
46140,53
46200,67
46260,54
46320,39
46380,71
46440,55
46500,61
46560,61
46620,54
46680,64
46740,55
46800,61
46860,51
46920,64
46980,68
47040,44
47100,64
47160,50
47220,65
47280,77
47340,51
