"Interval start","All Packets"
0,6
0.5,2
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,1
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,0
9,2
9.5,0
10,0
10.5,0
11,0
11.5,0
12,0
12.5,0
13,0
13.5,0
14,0
14.5,6
15,5
15.5,1
16,0
16.5,0
17,0
17.5,1
18,0
18.5,6
19,0
19.5,0
20,0
20.5,0
21,2
21.5,0
22,2
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,1
28,0
28.5,0
29,3
29.5,2
30,0
30.5,0
31,0
31.5,0
32,3
32.5,0
33,0
33.5,0
34,0
34.5,0
35,3
35.5,2
36,0
36.5,0
37,0
37.5,1
38,3
38.5,0
39,0
39.5,0
40,0
40.5,0
41,3
41.5,0
42,1
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,1
48,0
48.5,0
49,1
49.5,0
50,0
50.5,12
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,0
56.5,0
57,0
57.5,1
58,2
58.5,0
59,0
59.5,0
60,0
60.5,0
61,0
61.5,0
62,1
62.5,3
63,0
63.5,0
64,0
64.5,0
65,0
65.5,2
66,0
66.5,0
67,0
67.5,1
68,0
68.5,0
69,3
69.5,0
70,0
70.5,0
71,0
71.5,2
72,0
72.5,0
73,0
73.5,0
74,0
74.5,5
75,4
75.5,1
76,0
76.5,0
77,0
77.5,1
78,0
78.5,0
79,0
79.5,0
80,0
80.5,0
81,0
81.5,2
82,0
82.5,0
83,0
83.5,0
84,0
84.5,0
85,0
85.5,0
86,0
86.5,0
87,0
87.5,1
88,0
88.5,0
89,0
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,1
96,0
96.5,2
97,0
97.5,1
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,3
101.5,4
102,0
102.5,0
103,0
103.5,0
104,3
104.5,0
105,0
105.5,0
106,0
106.5,0
107,3
107.5,3
108,0
108.5,0
109,0
109.5,0
110,3
110.5,0
111,0
111.5,0
112,0
112.5,0
113,3
113.5,2
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,1
118,0
118.5,2
119,0
119.5,0
120,0
120.5,0
121,8
121.5,0
122,0
122.5,2
123,2
123.5,1
124,0
124.5,0
125,0
125.5,0
126,0
126.5,10
127,4
127.5,1
128,0
128.5,0
129,3
129.5,1
130,0
130.5,0
131,0
131.5,1
132,0
132.5,0
133,0
133.5,0
134,0
134.5,5
135,4
135.5,1
136,0
136.5,0
137,0
137.5,2
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,1
142,0
142.5,2
143,0
143.5,2
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,1
151,0
151.5,1
152,0
152.5,0
153,0
153.5,0
154,0
154.5,0
155,0
155.5,0
156,0
156.5,0
157,0
157.5,0
158,0
158.5,0
159,0
159.5,0
160,0
160.5,0
161,0
161.5,1
162,0
162.5,0
163,0
163.5,0
164,0
164.5,0
165,0
165.5,0
166,0
166.5,0
167,0
167.5,0
168,0
168.5,0
169,0
169.5,0
170,2
170.5,0
171,0
171.5,1
172,0
172.5,0
173,0
173.5,5
174,0
174.5,0
175,0
175.5,0
176,0
176.5,3
177,0
177.5,1
178,0
178.5,0
179,0
179.5,5
180,0
180.5,0
181,0
181.5,1
182,0
182.5,3
183,4
183.5,0
184,2
184.5,0
185,0
185.5,3
186,0
186.5,0
187,0
187.5,0
188,0
188.5,0
189,2
189.5,0
190,0
190.5,0
191,0
191.5,1
192,0
192.5,0
193,0
193.5,0
194,0
194.5,3
195,4
195.5,3
196,0
196.5,0
197,0
197.5,0
198,0
198.5,0
199,0
199.5,0
200,0
200.5,0
201,0
201.5,1
202,0
202.5,0
203,2
203.5,0
204,0
204.5,1
205,0
205.5,0
206,0
206.5,0
207,0
207.5,0
208,0
208.5,0
209,0
209.5,0
210,0
210.5,0
211,0
211.5,1
212,0
212.5,2
213,0
213.5,0
214,0
214.5,0
215,0
215.5,0
216,0
216.5,0
217,2
217.5,0
218,0
218.5,2
219,0
219.5,0
220,0
220.5,0
221,0
221.5,1
222,0
222.5,0
223,6
223.5,0
224,0
224.5,0
225,0
225.5,0
226,2
226.5,0
227,2
227.5,0
228,0
228.5,0
229,0
229.5,0
230,0
230.5,0
231,0
231.5,2
232,0
232.5,0
233,0
233.5,0
234,0
234.5,0
235,0
235.5,0
236,0
236.5,0
237,0
237.5,0
238,0
238.5,0
239,0
239.5,0
240,0
240.5,0
241,0
241.5,1
242,0
242.5,0
243,0
243.5,0
244,0
244.5,0
245,0
245.5,4
246,3
246.5,0
247,2
247.5,0
248,0
248.5,3
249,4
249.5,0
250,0
250.5,0
251,0
251.5,4
252,0
252.5,0
253,0
253.5,0
254,0
254.5,7
255,6
255.5,3
256,0
256.5,0
257,0
257.5,3
258,0
258.5,1
259,0
259.5,0
260,0
260.5,0
261,0
261.5,0
262,0
262.5,2
263,2
263.5,0
264,0
264.5,1
265,0
265.5,0
266,0
266.5,0
267,0
267.5,0
268,0
268.5,0
269,0
269.5,0
270,0
270.5,0
271,0
271.5,0
272,0
272.5,0
273,0
273.5,0
274,0
274.5,1
275,0
275.5,0
276,0
276.5,0
277,0
277.5,0
278,0
278.5,0
279,0
279.5,0
280,0
280.5,0
281,0
281.5,0
282,0
282.5,0
283,0
283.5,0
284,0
284.5,1
285,2
285.5,1
286,0
286.5,0
287,0
287.5,0
288,0
288.5,0
289,0
289.5,0
290,0
290.5,0
291,2
291.5,0
292,0
292.5,2
293,0
293.5,0
294,2
294.5,1
295,0
295.5,0
296,0
296.5,0
297,0
297.5,0
298,0
298.5,0
299,0
299.5,0
300,0
300.5,0
301,0
301.5,0
302,0
302.5,0
303,0
303.5,0
304,0
304.5,1
305,0
305.5,0
306,0
306.5,5
307,0
307.5,0
308,0
308.5,0
309,2
309.5,0
310,0
310.5,2
311,0
311.5,0
312,0
312.5,1
313,0
313.5,2
314,0
314.5,3
315,5
315.5,3
316,0
316.5,0
317,0
317.5,3
318,0
318.5,0
319,0
319.5,0
320,0
320.5,3
321,2
321.5,0
322,0
322.5,0
323,0
323.5,3
324,0
324.5,3
325,6
325.5,0
326,0
326.5,3
327,2
327.5,0
328,0
328.5,0
329,0
329.5,3
330,0
330.5,0
331,0
331.5,0
332,0
332.5,0
333,0
333.5,0
334,0
334.5,1
335,0
335.5,0
336,0
336.5,0
337,0
337.5,0
338,0
338.5,0
339,0
339.5,1
340,0
340.5,0
341,0
341.5,0
342,0
342.5,0
343,0
343.5,0
344,0
344.5,1
345,0
345.5,0
346,0
346.5,0
347,0
347.5,0
348,0
348.5,0
349,1
349.5,0
350,0
350.5,0
351,2
351.5,0
352,0
352.5,0
353,0
353.5,0
354,0
354.5,1
355,2
355.5,0
356,0
356.5,0
357,2
357.5,0
358,0
358.5,0
359,0
359.5,0
360,0
360.5,0
361,0
361.5,0
362,0
362.5,0
363,2
363.5,0
364,0
364.5,1
365,0
365.5,0
366,0
366.5,5
367,0
367.5,0
368,0
368.5,0
369,0
369.5,0
370,0
370.5,0
371,0
371.5,0
372,0
372.5,1
373,0
373.5,2
374,0
374.5,2
375,5
375.5,3
376,0
376.5,0
377,0
377.5,0
378,0
378.5,0
379,0
379.5,0
380,0
380.5,0
381,0
381.5,0
382,0
382.5,1
383,0
383.5,0
384,0
384.5,0
385,2
385.5,0
386,0
386.5,0
387,0
387.5,0
388,0
388.5,0
389,0
389.5,3
390,0
390.5,0
391,0
391.5,0
392,0
392.5,4
393,0
393.5,1
394,0
394.5,0
395,0
395.5,3
396,0
396.5,0
397,2
397.5,0
398,0
398.5,3
399,0
399.5,0
400,0
400.5,0
401,0
401.5,3
402,0
402.5,1
403,2
403.5,0
404,2
404.5,0
405,0
405.5,0
406,0
406.5,0
407,0
407.5,0
408,0
408.5,0
409,0
409.5,0
410,0
410.5,0
411,2
411.5,0
412,0
412.5,1
413,0
413.5,0
414,0
414.5,0
415,0
415.5,0
416,0
416.5,0
417,0
417.5,0
418,0
418.5,0
419,0
419.5,0
420,0
420.5,1
421,0
421.5,0
422,0
422.5,1
423,0
423.5,0
424,0
424.5,0
425,0
425.5,0
426,0
426.5,0
427,10
427.5,8
428,0
428.5,0
429,6
429.5,2
430,0
430.5,0
431,0
431.5,0
432,0
432.5,1
433,0
433.5,0
434,0
434.5,2
435,5
435.5,5
436,0
436.5,2
437,0
437.5,0
438,0
438.5,0
439,0
439.5,0
440,0
440.5,0
441,0
441.5,0
442,0
442.5,1
443,0
443.5,0
444,0
444.5,0
445,0
445.5,2
446,0
446.5,0
447,0
447.5,1
448,0
448.5,0
449,0
449.5,0
450,0
450.5,0
451,0
451.5,0
452,0
452.5,1
453,0
453.5,1
454,1
454.5,0
455,0
455.5,0
456,0
456.5,0
457,0
457.5,0
458,0
458.5,0
459,0
459.5,0
460,0
460.5,0
461,0
461.5,3
462,0
462.5,1
463,0
463.5,0
464,0
464.5,3
465,0
465.5,2
466,0
466.5,0
467,0
467.5,3
468,0
468.5,0
469,0
469.5,0
470,0
470.5,3
471,0
471.5,2
472,0
472.5,1
473,0
473.5,3
474,0
474.5,1
475,0
475.5,0
476,0
476.5,0
477,0
477.5,0
478,0
478.5,0
479,0
479.5,0
480,0
480.5,0
481,0
481.5,0
482,0
482.5,1
483,0
483.5,0
484,0
484.5,0
485,0
485.5,0
486,0
486.5,0
487,0
487.5,0
488,0
488.5,0
489,2
489.5,4
490,0
490.5,0
491,0
491.5,0
492,0
492.5,1
493,0
493.5,0
494,0
494.5,2
495,4
495.5,4
496,0
496.5,0
497,0
497.5,0
498,0
498.5,0
499,0
499.5,2
500,0
500.5,0
501,0
501.5,3
502,0
502.5,2
503,0
503.5,0
504,0
504.5,0
505,0
505.5,0
506,0
506.5,2
507,0
507.5,2
508,0
508.5,0
509,2
509.5,0
510,0
510.5,0
511,0
511.5,0
512,0
512.5,1
513,0
513.5,0
514,0
514.5,0
515,0
515.5,0
516,0
516.5,0
517,0
517.5,0
518,0
518.5,0
519,0
519.5,0
520,0
520.5,0
521,0
521.5,0
522,0
522.5,1
523,0
523.5,0
524,0
524.5,0
525,0
525.5,0
526,0
526.5,0
527,0
527.5,0
528,0
528.5,1
529,6
529.5,0
530,0
530.5,0
531,0
531.5,0
532,0
532.5,1
533,0
533.5,3
534,0
534.5,0
535,0
535.5,0
536,0
536.5,3
537,0
537.5,1
538,3
538.5,0
539,0
539.5,3
540,0
540.5,0
541,0
541.5,0
542,0
542.5,4
543,0
543.5,0
544,2
544.5,0
545,0
545.5,3
546,0
546.5,0
547,0
547.5,0
548,0
548.5,0
549,2
549.5,0
550,4
550.5,0
551,0
551.5,0
552,0
552.5,1
553,0
553.5,0
554,0
554.5,2
555,5
555.5,4
556,0
556.5,0
557,0
557.5,0
558,0
558.5,0
559,0
559.5,0
560,0
560.5,0
561,0
561.5,0
562,2
562.5,1
563,0
563.5,0
564,0
564.5,2
565,0
565.5,0
566,0
566.5,0
567,0
567.5,0
568,0
568.5,0
569,0
569.5,0
570,0
570.5,0
571,0
571.5,0
572,0
572.5,1
573,0
573.5,0
574,0
574.5,0
575,0
575.5,0
576,2
576.5,0
577,0
577.5,0
578,0
578.5,0
579,0
579.5,0
580,0
580.5,0
581,0
581.5,0
582,2
582.5,2
583,0
583.5,0
584,2
584.5,0
585,0
585.5,0
586,0
586.5,0
587,0
587.5,0
588,0
588.5,0
589,0
589.5,0
590,0
590.5,0
591,0
591.5,2
592,0
592.5,3
593,0
593.5,0
594,0
594.5,0
595,0
595.5,0
596,0
596.5,0
597,0
597.5,0
598,0
598.5,2
599,0
599.5,0
600,0
600.5,0
601,0
601.5,0
602,0
602.5,1
603,0
603.5,0
604,0
604.5,0
605,0
605.5,0
606,3
606.5,0
607,0
607.5,2
608,0
608.5,0
609,5
609.5,0
610,1
610.5,0
611,0
611.5,0
612,7
612.5,3
613,0
613.5,0
614,0
614.5,2
615,8
615.5,3
616,0
616.5,0
617,0
617.5,0
618,3
618.5,2
619,0
619.5,0
620,0
620.5,1
621,0
621.5,0
622,0
622.5,0
623,0
623.5,0
624,0
624.5,0
625,0
625.5,2
626,0
626.5,0
627,0
627.5,2
628,0
628.5,0
629,0
629.5,0
630,0
630.5,1
631,6
631.5,0
632,0
632.5,0
633,0
633.5,0
634,0
634.5,0
635,0
635.5,0
636,0
636.5,0
637,1
637.5,0
638,0
638.5,0
639,0
639.5,0
640,0
640.5,1
641,0
641.5,0
642,0
642.5,0
643,0
643.5,0
644,0
644.5,0
645,0
645.5,0
646,0
646.5,0
647,0
647.5,0
648,0
648.5,2
649,1
649.5,0
650,0
650.5,1
651,0
651.5,0
652,0
652.5,0
653,0
653.5,0
654,0
654.5,2
655,0
655.5,0
656,0
656.5,0
657,0
657.5,0
658,2
658.5,0
659,0
659.5,0
660,0
660.5,1
661,0
661.5,0
662,0
662.5,0
663,0
663.5,0
664,1
664.5,0
665,0
665.5,0
666,0
666.5,0
667,0
667.5,0
668,0
668.5,0
669,2
669.5,0
670,0
670.5,1
671,0
671.5,0
672,4
672.5,0
673,0
673.5,0
674,0
674.5,2
675,5
675.5,3
676,0
676.5,0
677,0
677.5,0
678,3
678.5,0
679,0
679.5,0
680,0
680.5,1
681,3
681.5,0
682,0
682.5,0
683,0
683.5,0
684,3
684.5,0
685,2
685.5,0
686,0
686.5,0
687,3
687.5,0
688,2
688.5,2
689,0
689.5,0
690,3
690.5,1
691,3
691.5,0
692,0
692.5,0
693,0
693.5,0
694,0
694.5,0
695,0
695.5,0
696,0
696.5,0
697,0
697.5,0
698,0
698.5,0
699,0
699.5,0
700,0
700.5,1
701,0
701.5,0
702,0
702.5,0
703,0
703.5,0
704,2
704.5,0
705,0
705.5,0
706,0
706.5,0
707,0
707.5,0
708,0
708.5,0
709,0
709.5,0
710,0
710.5,1
711,0
711.5,0
712,0
712.5,0
713,0
713.5,0
714,0
714.5,0
715,0
715.5,0
716,0
716.5,0
717,0
717.5,0
718,1
718.5,0
719,0
719.5,0
720,0
720.5,1
721,2
721.5,0
722,0
722.5,2
723,2
723.5,0
724,0
724.5,0
725,0
725.5,0
726,0
726.5,0
727,10
727.5,4
728,0
728.5,0
729,2
729.5,2
730,0
730.5,1
731,0
731.5,1
732,4
732.5,0
733,6
733.5,0
734,0
734.5,2
735,5
735.5,3
736,0
736.5,0
737,0
737.5,0
738,0
738.5,0
739,0
739.5,0
740,0
740.5,0
741,0
741.5,1
742,0
742.5,0
743,0
743.5,0
744,0
744.5,1
745,2
745.5,0
746,0
746.5,0
747,0
747.5,0
748,0
748.5,0
749,2
749.5,0
750,3
750.5,0
751,0
751.5,2
752,0
752.5,0
753,3
753.5,0
754,0
754.5,1
755,0
755.5,0
756,3
756.5,0
757,0
757.5,0
758,2
758.5,0
759,3
759.5,0
760,2
760.5,0
761,0
761.5,0
762,3
762.5,0
763,0
763.5,0
764,0
764.5,1
765,0
765.5,0
766,2
766.5,0
767,0
767.5,0
768,0
768.5,0
769,0
769.5,0
770,0
770.5,0
771,0
771.5,0
772,1
772.5,0
773,0
773.5,0
774,0
774.5,1
775,0
775.5,0
776,0
776.5,0
777,0
777.5,0
778,0
778.5,0
779,0
779.5,0
780,0
780.5,0
781,0
781.5,0
782,0
782.5,0
783,0
783.5,0
784,0
784.5,1
785,0
785.5,0
786,0
786.5,0
787,0
787.5,0
788,0
788.5,0
789,2
789.5,2
790,0
790.5,0
791,0
791.5,0
792,0
792.5,0
793,0
793.5,0
794,4
794.5,3
795,5
795.5,3
796,2
796.5,0
797,0
797.5,0
798,0
798.5,0
799,1
799.5,0
800,0
800.5,0
801,1
801.5,1
802,2
802.5,0
803,0
803.5,0
804,0
804.5,1
805,0
805.5,0
806,0
806.5,0
807,0
807.5,0
808,0
808.5,0
809,0
809.5,0
810,0
810.5,0
811,0
811.5,0
812,0
812.5,0
813,0
813.5,0
814,0
814.5,3
815,0
815.5,0
816,0
816.5,0
817,0
817.5,0
818,0
818.5,0
819,0
819.5,0
820,0
820.5,0
821,0
821.5,0
822,3
822.5,0
823,0
823.5,0
824,0
824.5,1
825,3
825.5,0
826,1
826.5,0
827,0
827.5,0
828,3
828.5,2
829,0
829.5,0
830,0
830.5,0
831,3
831.5,0
832,2
832.5,0
833,0
833.5,0
834,3
834.5,1
835,6
