"Interval start","All Packets"
0,9
60,63
120,50
180,30
240,36
300,29
360,33
420,32
480,33
540,25
600,30
660,25
720,28
780,25
840,36
900,216
960,1034
1020,1031
1080,1028
1140,1029
1200,1020
1260,982
1320,1024
1380,1026
1440,1023
1500,820
1560,29
1620,26
1680,26
1740,34
1800,22
1860,26
1920,32
1980,21
2040,25
2100,20
2160,29
2220,34
2280,21
2340,32
2400,16
2460,13
2520,21
2580,10
2640,10
2700,45
2760,40
2820,18
2880,31
2940,18
3000,22
3060,54
3120,34
3180,36
3240,23
3300,29
3360,38
3420,22
3480,39
3540,24
3600,21
3660,37
3720,26
3780,21
3840,36
3900,20
3960,31
4020,18
4080,13
4140,36
4200,16
4260,12
4320,12
4380,27
4440,31
4500,10
4560,22
4620,15
4680,11
4740,15
4800,9
4860,21
4920,14
4980,10
5040,20
5100,11
5160,28
5220,16
5280,10
5340,17
5400,25
5460,34
5520,25
5580,22
5640,17
5700,11
5760,37
5820,34
5880,9
5940,12
6000,21
6060,17
6120,15
6180,39
6240,24
6300,25
6360,20
6420,21
6480,11
6540,10
6600,33
6660,22
6720,20
6780,30
6840,22
6900,30
6960,26
7020,33
7080,28
7140,21
7200,31
7260,30
7320,30
7380,25
7440,30
7500,28
7560,21
7620,22
7680,29
7740,22
7800,33
7860,26
7920,26
7980,32
8040,22
8100,32
8160,22
8220,32
8280,24
8340,26
8400,29
8460,24
8520,21
8580,38
8640,21
8700,30
8760,30
8820,21
8880,28
8940,22
9000,29
9060,32
9120,29
9180,32
9240,24
9300,17
9360,31
9420,42
9480,30
9540,31
9600,30
9660,24
9720,34
9780,22
9840,29
9900,25
9960,36
10020,25
10080,32
10140,26
10200,22
10260,28
10320,20
10380,31
10440,28
10500,20
10560,32
10620,20
10680,33
10740,35
10800,30
10860,27
10920,36
10980,21
11040,30
11100,31
11160,23
11220,28
11280,21
11340,28
11400,43
11460,23
11520,27
11580,22
11640,24
11700,26
11760,25
11820,21
11880,31
11940,26
12000,28
12060,24
12120,23
12180,26
12240,25
12300,33
12360,20
12420,24
