"Interval start","Filtered packets"
0,4
10,2
20,3
30,11
40,0
50,1
60,5
70,0
80,1
90,11
100,0
110,1
120,4
130,0
140,4
150,10
160,3
170,0
180,5
190,1
200,4
210,4
220,9
230,0
240,5
250,1
260,4
270,4
280,9
290,0
300,5
310,1
320,0
330,3
340,7
350,2
360,3
370,1
380,3
390,4
400,1
410,9
420,3
430,1
440,1
450,6
460,1
470,8
480,4
490,0
500,1
510,8
520,0
530,7
540,6
550,0
560,1
570,2
580,1
590,1
600,9
610,4
620,0
630,6
640,3
650,0
660,10
670,3
680,0
690,3
700,5
710,0
720,8
730,6
740,0
750,2
760,7
770,0
780,2
790,12
800,0
810,1
820,7
830,0
840,2
850,11
860,0
870,2
880,3
890,0
900,2
910,10
920,2
930,1
940,7
950,0
960,2
970,3
980,8
990,0
1000,6
1010,3
1020,1
1030,3
1040,10
1050,0
1060,3
1070,5
1080,1
1090,4
1100,7
1110,2
1120,3
1130,1
1140,1
1150,4
1160,1
1170,8
1180,3
1190,5
1200,1
1210,3
1220,1
1230,8
1240,4
1250,5
1260,1
1270,3
1280,1
1290,8
1300,3
1310,3
1320,3
1330,2
1340,1
1350,1
1360,10
1370,1
1380,3
1390,2
1400,1
1410,1
1420,10
1430,1
1440,6
1450,3
1460,1
1470,1
1480,10
1490,2
1500,6
1510,2
1520,1
1530,1
1540,3
1550,9
1560,5
1570,3
1580,0
1590,1
1600,2
1610,10
1620,4
1630,3
1640,3
1650,1
1660,2
1670,10
1680,1
1690,1
1700,3
1710,0
1720,2
1730,3
1740,9
1750,5
1760,3
1770,5
1780,3
1790,3
1800,9
1810,5
1820,3
1830,0
1840,1
1850,3
1860,9
1870,5
1880,3
1890,0
1900,1
1910,2
1920,2
1930,8
1940,4
1950,1
1960,0
1970,4
1980,2
1990,10
2000,5
2010,1
2020,0
2030,4
2040,1
2050,9
2060,6
2070,1
2080,1
2090,2
2100,2
2110,1
2120,14
2130,1
2140,1
2150,2
2160,2
2170,1
2180,14
2190,1
2200,1
2210,3
2220,2
2230,1
2240,10
2250,1
2260,1
2270,3
2280,1
2290,1
2300,6
2310,10
2320,1
2330,4
2340,0
2350,2
2360,3
2370,12
2380,1
2390,4
2400,0
2410,2
2420,3
2430,12
2440,1
2450,3
2460,0
2470,2
2480,3
2490,0
2500,9
2510,3
2520,0
2530,2
2540,1
2550,7
2560,9
2570,1
2580,3
2590,2
2600,1
2610,5
2620,11
2630,1
2640,3
2650,2
2660,1
2670,2
2680,7
2690,7
2700,3
2710,2
2720,1
2730,3
2740,1
2750,9
2760,2
2770,2
2780,1
2790,3
2800,5
2810,9
2820,2
2830,2
2840,1
2850,2
2860,5
2870,3
2880,10
2890,1
2900,1
2910,4
2920,2
2930,3
2940,12
2950,1
2960,1
2970,4
2980,0
2990,5
3000,10
3010,2
3020,0
3030,4
3040,1
3050,0
3060,3
3070,10
3080,0
3090,4
3100,1
3110,4
3120,4
3130,10
3140,0
3150,4
3160,1
3170,4
3180,3
3190,10
3200,0
3210,3
3220,1
3230,2
3240,6
3250,4
3260,6
3270,3
3280,1
3290,0
3300,4
3310,2
3320,8
3330,3
3340,1
3350,0
3360,7
3370,2
3380,9
3390,2
3400,1
3410,1
3420,6
3430,2
3440,3
3450,9
3460,1
3470,1
3480,7
3490,2
3500,1
3510,11
3520,1
3530,1
3540,1
3550,3
3560,1
3570,8
3580,4
3590,0
3600,3
3610,11
3620,1
3630,3
3640,9
3650,1
3660,1
3670,14
3680,1
3690,1
3700,11
3710,1
3720,1
3730,8
3740,1
3750,1
3760,10
3770,1
3780,1
3790,8
3800,1
3810,1
3820,8
3830,3
3840,1
3850,4
3860,0
3870,1
3880,4
3890,8
3900,1
3910,7
3920,2
3930,1
3940,3
3950,8
3960,1
3970,4
3980,5
3990,1
4000,3
4010,6
4020,3
4030,4
4040,4
4050,2
4060,3
4070,0
4080,8
4090,4
4100,1
4110,0
4120,4
4130,1
4140,8
4150,4
4160,5
4170,0
4180,3
4190,1
4200,7
4210,6
4220,3
4230,2
4240,3
4250,1
4260,0
4270,12
4280,1
4290,4
4300,3
4310,1
4320,0
4330,11
4340,2
4350,5
4360,2
4370,1
4380,1
4390,11
4400,1
4410,1
4420,3
4430,1
4440,1
4450,4
4460,9
4470,5
4480,3
4490,1
4500,1
4510,4
4520,9
4530,3
4540,2
4550,3
4560,1
4570,1
4580,11
4590,1
4600,4
4610,3
4620,1
4630,1
4640,3
4650,9
4660,0
4670,3
4680,1
4690,1
4700,2
4710,9
4720,5
4730,2
4740,1
4750,2
4760,3
4770,9
4780,5
4790,3
4800,1
4810,2
4820,3
4830,1
4840,13
4850,2
4860,1
4870,2
4880,3
4890,1
4900,9
4910,3
4920,0
4930,3
4940,3
4950,0
4960,9
4970,7
4980,0
4990,2
5000,4
5010,0
5020,1
5030,15
5040,0
5050,3
5060,3
5070,0
5080,1
5090,15
5100,0
5110,2
5120,4
5130,0
5140,1
5150,14
5160,1
5170,1
5180,3
5190,1
5200,1
5210,3
5220,9
5230,1
5240,4
5250,1
5260,0
5270,4
5280,12
5290,2
5300,2
5310,1
5320,1
5330,3
5340,13
5350,2
5360,2
5370,1
5380,2
5390,2
5400,7
5410,8
5420,2
5430,1
5440,1
5450,2
5460,1
5470,10
5480,2
5490,1
5500,1
5510,2
5520,4
5530,10
5540,3
5550,1
5560,1
5570,1
5580,2
5590,8
5600,7
5610,3
5620,1
5630,1
5640,2
5650,5
5660,9
5670,3
5680,0
5690,1
5700,3
5710,1
5720,10
5730,3
5740,0
5750,1
5760,4
5770,5
5780,3
5790,9
5800,0
5810,1
5820,4
5830,5
5840,2
5850,11
5860,0
5870,1
5880,4
5890,1
5900,5
5910,11
5920,0
5930,1
5940,3
5950,1
5960,5
5970,5
5980,6
5990,1
6000,3
6010,1
6020,1
6030,3
6040,8
6050,1
6060,4
6070,1
6080,5
6090,3
6100,8
6110,1
6120,3
6130,2
6140,5
6150,3
6160,7
6170,2
6180,4
6190,2
6200,0
6210,7
6220,1
6230,8
6240,3
6250,2
6260,0
6270,4
6280,1
6290,8
6300,3
6310,2
6320,0
6330,7
6340,1
6350,8
6360,2
6370,2
6380,1
6390,6
6400,1
6410,1
6420,10
6430,2
6440,1
6450,6
6460,1
6470,1
6480,9
6490,3
6500,1
6510,1
6520,3
6530,1
6540,8
6550,4
6560,1
6570,0
6580,8
6590,1
6600,0
6610,12
6620,1
6630,0
6640,7
6650,1
6660,0
6670,12
6680,1
6690,0
6700,8
6710,1
6720,0
6730,11
6740,2
6750,1
6760,7
6770,1
6780,1
6790,3
6800,11
6810,1
6820,3
6830,1
6840,1
6850,4
6860,9
6870,1
6880,2
6890,5
6900,1
6910,3
6920,7
6930,3
6940,3
6950,5
6960,1
6970,3
6980,1
6990,9
7000,3
7010,5
7020,1
7030,4
7040,1
7050,9
7060,3
7070,1
7080,1
7090,3
7100,0
7110,9
7120,3
7130,4
7140,1
7150,4
7160,0
7170,1
7180,12
7190,0
7200,5
7210,4
7220,0
7230,1
7240,12
7250,0
7260,5
7270,5
7280,0
7290,1
7300,12
7310,0
7320,4
7330,4
7340,1
7350,0
7360,5
7370,8
7380,0
7390,4
7400,1
7410,0
7420,3
7430,29
7440,20
7450,4
7460,2
7470,0
7480,1
7490,11
7500,0
7510,6
7520,4
7530,0
7540,1
7550,5
7560,6
7570,6
7580,4
7590,0
7600,1
7610,3
7620,8
7630,3
7640,3
7650,0
7660,1
7670,3
7680,9
7690,5
7700,3
7710,1
7720,0
7730,3
7740,3
7750,12
7760,3
7770,1
7780,0
7790,4
7800,1
7810,11
7820,6
7830,1
7840,0
7850,3
7860,1
7870,10
7880,3
7890,1
7900,0
7910,3
7920,1
7930,4
7940,13
7950,1
7960,0
7970,3
7980,1
7990,1
8000,16
8010,1
8020,0
8030,3
8040,1
8050,1
8060,16
8070,1
8080,0
8090,3
8100,1
8110,1
8120,8
8130,9
8140,0
8150,3
8160,1
8170,2
8180,2
8190,9
8200,1
8210,2
8220,1
8230,3
8240,2
8250,13
8260,1
8270,2
8280,1
8290,3
8300,2
8310,11
8320,4
8330,2
8340,1
8350,2
8360,2
8370,6
8380,9
8390,3
8400,1
8410,2
8420,2
8430,1
8440,9
8450,1
8460,2
8470,2
8480,0
8490,5
8500,9
8510,2
8520,4
8530,2
8540,0
8550,3
8560,5
8570,8
8580,4
8590,2
8600,1
8610,3
8620,5
8630,8
8640,3
8650,2
8660,1
8670,2
8680,1
8690,9
8700,2
8710,3
8720,1
8730,6
8740,7
8750,0
8760,11
8770,1
8780,1
8790,4
8800,8
8810,3
8820,12
8830,1
8840,1
8850,4
8860,0
8870,4
8880,11
8890,2
8900,0
8910,4
8920,1
8930,4
8940,3
8950,10
8960,0
8970,4
8980,1
8990,0
9000,3
9010,10
9020,0
9030,4
9040,1
9050,4
9060,4
9070,10
9080,0
9090,3
9100,1
9110,2
9120,5
9130,5
9140,6
9150,4
9160,1
9170,0
9180,7
9190,2
9200,10
9210,4
9220,1
9230,0
9240,4
9250,1
9260,9
9270,2
9280,1
9290,1
9300,7
9310,2
9320,3
9330,9
9340,1
9350,1
9360,7
9370,1
9380,1
9390,12
9400,0
9410,1
9420,6
9430,3
9440,1
9450,10
9460,1
9470,1
9480,1
9490,7
9500,1
9510,3
9520,9
9530,1
9540,1
9550,3
9560,1
9570,1
9580,10
9590,1
9600,0
9610,9
9620,0
9630,1
9640,12
9650,0
9660,1
9670,9
9680,0
9690,1
9700,9
9710,2
9720,1
9730,9
9740,0
9750,1
9760,3
9770,8
9780,1
9790,5
9800,0
9810,1
9820,3
9830,8
9840,1
9850,4
9860,5
9870,0
9880,3
9890,9
9900,0
9910,5
9920,5
9930,0
9940,3
9950,2
9960,8
9970,4
9980,5
9990,0
10000,4
10010,1
10020,8
10030,4
10040,1
10050,0
10060,4
10070,1
10080,8
10090,3
10100,3
10110,3
10120,2
10130,1
10140,3
10150,9
10160,2
10170,5
10180,3
10190,1
10200,0
10210,13
10220,0
10230,6
10240,3
10250,0
10260,1
10270,12
10280,0
10290,5
10300,3
10310,0
10320,1
10330,4
10340,8
10350,2
10360,1
10370,2
10380,1
10390,2
10400,10
10410,5
10420,1
10430,3
10440,1
10450,1
10460,12
10470,0
10480,5
10490,3
10500,0
10510,2
10520,9
10530,2
10540,5
10550,3
10560,0
10570,3
10580,3
10590,8
10600,1
10610,3
10620,0
10630,2
10640,3
10650,8
10660,5
10670,3
10680,1
10690,1
10700,3
10710,7
10720,6
10730,4
10740,1
10750,1
10760,4
10770,1
10780,8
10790,7
10800,1
10810,1
10820,4
10830,1
10840,8
10850,4
10860,1
10870,0
10880,3
10890,1
10900,8
10910,8
10920,0
10930,6
10940,4
10950,1
10960,1
10970,15
10980,1
10990,2
11000,2
11010,1
11020,1
11030,14
11040,1
11050,2
11060,3
11070,1
11080,1
11090,11
11100,5
11110,2
11120,2
11130,1
11140,2
11150,2
11160,8
11170,2
11180,3
11190,0
11200,1
11210,4
11220,12
11230,2
11240,8
11250,1
11260,1
11270,1
11280,14
11290,1
11300,5
11310,4
11320,1
11330,1
11340,8
11350,8
11360,2
11370,2
11380,1
11390,0
11400,4
11410,9
11420,1
11430,3
11440,0
11450,1
11460,3
11470,12
11480,1
11490,3
11500,0
11510,0
11520,4
11530,7
11540,6
11550,3
11560,1
11570,0
11580,4
11590,5
11600,8
11610,3
11620,1
11630,0
11640,4
11650,1
11660,8
11670,3
11680,2
11690,0
11700,3
11710,5
11720,6
11730,5
11740,1
11750,0
11760,2
11770,1
11780,5
11790,11
11800,1
11810,2
11820,2
11830,1
11840,5
11850,11
11860,1
11870,1
11880,3
11890,0
11900,5
11910,12
11920,0
11930,1
11940,4
11950,0
11960,1
11970,3
11980,8
11990,2
12000,3
12010,0
12020,5
12030,3
12040,8
12050,1
12060,3
12070,0
12080,3
12090,5
12100,8
12110,1
12120,4
12130,0
12140,1
12150,7
12160,0
12170,9
12180,3
12190,0
12200,1
12210,4
12220,0
12230,9
12240,1
12250,2
12260,0
12270,5
12280,4
12290,8
12300,2
12310,3
12320,0
12330,5
12340,4
12350,2
12360,7
12370,3
12380,1
12390,3
12400,5
12410,0
12420,10
12430,3
