"Interval start","Filtered packets"
0,0
60,0
120,0
180,0
240,0
300,0
360,0
420,0
480,0
540,0
600,0
660,0
720,0
780,0
840,0
900,0
960,0
1020,0
1080,0
1140,0
1200,0
1260,0
1320,0
1380,0
1440,0
1500,0
1560,0
1620,0
1680,0
1740,0
1800,0
1860,0
1920,0
1980,0
2040,0
2100,0
2160,0
2220,0
2280,0
2340,0
2400,0
2460,0
2520,0
2580,0
2640,0
2700,0
2760,0
2820,0
2880,0
2940,0
3000,0
3060,0
3120,0
3180,0
3240,0
3300,0
3360,0
3420,0
3480,0
3540,0
3600,0
3660,0
3720,0
3780,0
3840,0
3900,0
3960,0
4020,0
4080,0
4140,0
4200,0
4260,0
4320,0
4380,0
4440,0
4500,0
4560,0
4620,0
4680,0
4740,0
4800,0
4860,0
4920,0
4980,0
5040,0
5100,0
5160,0
5220,0
5280,0
5340,0
5400,0
5460,0
5520,0
5580,0
5640,0
5700,0
5760,0
5820,0
5880,0
5940,0
6000,0
6060,0
6120,0
6180,0
6240,0
6300,0
6360,0
6420,0
6480,0
6540,0
6600,0
6660,0
6720,0
6780,0
6840,0
6900,0
6960,0
7020,0
7080,0
7140,0
7200,0
7260,0
7320,0
7380,0
7440,0
7500,0
7560,0
7620,10
7680,21
7740,23
7800,22
7860,18
7920,22
7980,22
8040,22
8100,22
8160,17
8220,22
8280,23
8340,23
8400,16
8460,20
8520,22
8580,23
8640,18
8700,19
8760,28
8820,22
8880,22
8940,18
9000,22
9060,20
9120,21
9180,24
9240,18
9300,23
9360,22
9420,22
9480,22
9540,17
9600,22
9660,22
9720,22
9780,18
9840,22
9900,15
9960,22
10020,18
10080,20
10140,23
10200,22
10260,21
10320,18
10380,22
10440,22
10500,21
10560,18
10620,21
10680,22
10740,22
10800,19
10860,21
10920,27
10980,21
11040,19
11100,14
11160,18
11220,25
11280,26
11340,21
11400,18
11460,19
11520,21
11580,21
11640,18
11700,20
11760,22
11820,21
11880,21
11940,18
12000,20
12060,20
12120,21
12180,17
12240,20
12300,16
12360,19
12420,21
12480,17
12540,22
12600,20
12660,21
12720,16
12780,21
12840,20
12900,21
12960,17
13020,18
13080,18
13140,21
13200,21
13260,19
13320,18
13380,20
13440,21
13500,19
13560,10
13620,20
13680,20
13740,22
13800,17
13860,22
13920,20
13980,21
14040,21
14100,16
14160,19
14220,19
14280,22
14340,16
14400,21
14460,22
14520,20
14580,21
14640,16
14700,14
14760,21
14820,20
14880,16
14940,22
15000,17
