"Interval start","All Packets"
0,2
0.5,0
1,2
1.5,0
2,2
2.5,0
3,2
3.5,0
4,2
4.5,0
5,2
5.5,0
6,2
6.5,0
7,2
7.5,0
8,2
8.5,0
9,2
9.5,0
10,2
10.5,0
11,2
11.5,0
12,0
12.5,2
13,0
13.5,2
14,0
14.5,2
15,0
15.5,2
16,0
16.5,2
17,0
17.5,2
18,0
18.5,2
19,0
19.5,2
20,0
20.5,2
21,0
21.5,2
22,0
22.5,0
23,2
23.5,0
24,2
24.5,0
25,2
25.5,0
26,2
26.5,0
27,2
27.5,0
28,2
28.5,0
29,2
29.5,0
30,2
30.5,0
31,2
31.5,0
32,2
32.5,0
33,2
33.5,0
34,2
34.5,0
35,0
35.5,2
36,0
36.5,2
37,0
37.5,2
38,0
38.5,2
39,0
39.5,2
40,0
40.5,2
41,0
41.5,2
42,0
42.5,2
43,0
43.5,2
44,0
44.5,2
45,0
45.5,2
46,0
46.5,0
47,2
47.5,0
48,2
48.5,0
49,2
49.5,0
50,2
50.5,0
51,2
51.5,0
52,2
52.5,0
53,2
53.5,0
54,2
54.5,0
55,2
55.5,0
56,2
56.5,0
57,2
57.5,0
58,1
58.5,1
59,0
59.5,2
60,0
60.5,2
61,0
61.5,2
62,0
62.5,2
63,0
63.5,2
64,0
64.5,2
65,0
65.5,2
66,0
66.5,2
67,0
67.5,2
68,0
68.5,2
69,0
69.5,2
70,0
70.5,0
71,2
71.5,0
72,2
72.5,0
73,2
73.5,0
74,2
74.5,0
75,2
75.5,0
76,2
76.5,0
77,2
77.5,0
78,2
78.5,0
79,2
79.5,0
80,2
80.5,0
81,2
81.5,0
82,0
82.5,2
83,0
83.5,2
84,0
84.5,2
85,0
85.5,2
86,0
86.5,2
87,0
87.5,2
88,0
88.5,2
89,0
89.5,2
90,0
90.5,2
91,0
91.5,2
92,0
92.5,2
93,0
93.5,0
94,2
94.5,0
95,2
95.5,0
96,2
96.5,0
97,2
97.5,0
98,2
98.5,0
99,2
99.5,0
100,2
100.5,0
101,2
101.5,0
102,2
102.5,0
103,2
103.5,0
104,2
104.5,0
105,0
105.5,2
106,0
106.5,2
107,0
107.5,2
108,0
108.5,2
109,0
109.5,2
110,0
110.5,2
111,0
111.5,2
112,0
112.5,2
113,0
113.5,2
114,0
114.5,2
115,0
115.5,2
116,0
116.5,0
117,2
117.5,0
118,2
118.5,0
119,2
119.5,0
120,2
120.5,0
121,2
121.5,0
122,2
122.5,0
123,2
123.5,0
124,2
124.5,0
125,2
125.5,0
126,2
126.5,0
127,2
127.5,0
128,0
128.5,2
129,0
129.5,2
130,0
130.5,2
131,0
131.5,2
132,0
132.5,2
133,0
133.5,2
134,0
134.5,2
135,0
135.5,2
136,0
136.5,2
137,0
137.5,2
138,0
138.5,2
139,0
139.5,0
140,2
140.5,0
141,2
141.5,0
142,2
142.5,0
143,2
143.5,0
144,2
144.5,0
145,2
145.5,0
146,2
146.5,0
147,2
147.5,0
148,2
148.5,0
149,2
149.5,0
150,2
150.5,0
151,2
151.5,0
152,0
152.5,2
153,0
153.5,2
154,0
154.5,2
155,0
155.5,2
156,0
156.5,2
157,0
157.5,2
158,0
158.5,2
159,0
159.5,2
160,0
160.5,2
161,0
161.5,2
162,0
162.5,2
163,0
163.5,0
164,2
164.5,0
165,2
165.5,0
166,2
166.5,0
167,2
167.5,0
168,2
168.5,0
169,2
169.5,0
170,2
170.5,0
171,2
171.5,0
172,2
172.5,0
173,2
173.5,0
174,2
174.5,0
175,2
175.5,0
176,0
176.5,2
177,0
177.5,2
178,0
178.5,2
179,0
179.5,2
180,0
180.5,2
181,0
181.5,2
182,0
182.5,2
183,0
183.5,2
184,0
184.5,2
185,0
185.5,2
186,0
186.5,2
187,0
187.5,0
188,2
188.5,0
189,2
189.5,0
190,2
190.5,0
191,2
191.5,0
192,2
192.5,0
193,2
193.5,0
194,2
194.5,0
195,2
195.5,0
196,2
196.5,0
197,2
197.5,0
198,2
198.5,0
199,2
199.5,0
200,0
200.5,2
201,0
201.5,2
202,0
202.5,2
203,0
203.5,2
204,0
204.5,2
205,0
205.5,2
206,0
206.5,2
207,0
207.5,2
208,0
208.5,2
209,0
209.5,2
210,0
210.5,2
211,0
211.5,0
212,2
212.5,0
213,2
213.5,0
214,2
214.5,0
215,2
215.5,0
216,2
216.5,0
217,2
217.5,0
218,2
218.5,0
219,2
219.5,0
220,2
220.5,0
221,2
221.5,0
222,2
222.5,0
223,2
223.5,0
224,0
224.5,2
225,0
225.5,2
226,0
226.5,2
227,0
227.5,2
228,0
228.5,2
229,0
229.5,2
230,0
230.5,2
231,0
231.5,2
232,0
232.5,2
233,0
233.5,2
234,0
234.5,2
235,0
235.5,2
236,0
236.5,0
237,2
237.5,0
238,2
238.5,0
239,2
239.5,0
240,2
240.5,0
241,2
241.5,0
242,2
242.5,0
243,2
243.5,0
244,2
244.5,0
245,2
245.5,0
246,2
246.5,0
247,0
247.5,2
248,0
248.5,2
249,0
249.5,2
250,0
250.5,2
251,0
251.5,2
252,0
252.5,2
253,0
253.5,2
254,0
254.5,2
255,0
255.5,2
256,0
256.5,2
257,0
257.5,2
258,0
258.5,0
259,2
259.5,0
260,2
260.5,0
261,2
261.5,0
262,2
262.5,0
263,2
263.5,0
264,2
264.5,0
265,2
265.5,0
266,2
266.5,0
267,2
267.5,0
268,2
268.5,0
269,2
269.5,0
270,0
270.5,2
271,0
271.5,2
272,0
272.5,2
273,0
273.5,2
274,0
274.5,2
275,0
275.5,2
276,0
276.5,2
277,0
277.5,2
278,0
278.5,2
279,0
279.5,2
280,0
280.5,2
281,0
281.5,0
282,2
282.5,0
283,2
283.5,0
284,2
284.5,0
285,2
285.5,0
286,2
286.5,0
287,2
287.5,0
288,2
288.5,0
289,2
289.5,0
290,2
290.5,0
291,2
291.5,0
292,2
292.5,0
293,0
293.5,2
294,0
294.5,2
295,0
295.5,2
296,0
296.5,2
297,0
297.5,2
298,0
298.5,2
299,0
299.5,2
300,0
300.5,2
301,0
301.5,2
302,0
302.5,2
303,0
303.5,2
304,0
304.5,0
305,2
305.5,0
306,2
306.5,0
307,2
307.5,0
308,2
308.5,0
309,2
309.5,0
310,2
310.5,0
311,2
311.5,0
312,2
312.5,0
313,2
313.5,0
314,2
314.5,0
315,2
315.5,0
316,2
316.5,0
317,0
317.5,2
318,0
318.5,2
319,0
319.5,2
320,0
320.5,2
321,0
321.5,2
322,0
322.5,2
323,0
323.5,2
324,0
324.5,2
325,0
325.5,2
326,0
326.5,2
327,0
327.5,2
328,0
328.5,1
329,1
329.5,0
330,2
330.5,0
331,2
331.5,0
332,2
332.5,0
333,2
333.5,0
334,2
334.5,0
335,2
335.5,0
336,2
336.5,0
337,2
337.5,0
338,2
338.5,0
339,2
339.5,0
340,2
340.5,0
341,0
341.5,2
342,0
342.5,2
343,0
343.5,2
344,0
344.5,2
345,0
345.5,2
346,0
346.5,2
347,0
347.5,2
348,0
348.5,2
349,0
349.5,2
350,0
350.5,2
351,0
351.5,2
352,0
352.5,2
353,0
353.5,0
354,2
354.5,0
355,2
355.5,0
356,2
356.5,0
357,2
357.5,0
358,2
358.5,0
359,2
359.5,0
360,2
360.5,0
361,2
361.5,0
362,2
362.5,0
363,2
363.5,0
364,2
364.5,0
365,0
365.5,2
366,0
366.5,2
367,0
367.5,2
368,0
368.5,2
369,0
369.5,2
370,0
370.5,2
371,0
371.5,2
372,0
372.5,2
373,0
373.5,2
374,0
374.5,2
375,0
375.5,2
376,0
376.5,2
377,0
377.5,0
378,2
378.5,0
379,2
379.5,0
380,2
380.5,0
381,2
381.5,0
382,2
382.5,0
383,2
383.5,0
384,2
384.5,0
385,2
385.5,0
386,2
386.5,0
387,2
387.5,0
388,2
388.5,0
389,0
389.5,2
390,0
390.5,2
391,0
391.5,2
392,0
392.5,2
393,0
393.5,2
394,0
394.5,2
395,0
395.5,2
396,0
396.5,2
397,0
397.5,2
398,0
398.5,2
399,0
399.5,2
400,0
400.5,0
401,2
401.5,0
402,2
402.5,0
403,2
403.5,0
404,2
404.5,0
405,2
405.5,0
406,2
406.5,0
407,2
407.5,0
408,2
408.5,0
409,2
409.5,0
410,2
410.5,0
411,2
411.5,0
412,2
412.5,0
413,0
413.5,2
414,0
414.5,2
415,0
415.5,2
416,0
416.5,2
417,0
417.5,2
418,0
418.5,2
419,0
419.5,2
420,0
420.5,2
421,0
421.5,2
422,0
422.5,2
423,0
423.5,2
424,0
424.5,0
425,2
425.5,0
426,2
426.5,0
427,2
427.5,0
428,2
428.5,0
429,2
429.5,0
430,2
430.5,0
431,2
431.5,0
432,2
432.5,0
433,2
433.5,0
434,2
434.5,0
435,2
435.5,0
436,0
436.5,2
437,0
437.5,2
438,0
438.5,2
439,0
439.5,2
440,0
440.5,2
441,0
441.5,2
442,0
442.5,2
443,0
443.5,2
444,0
444.5,2
445,0
445.5,2
446,0
446.5,2
447,0
447.5,2
448,0
448.5,0
449,2
449.5,0
450,2
450.5,0
451,2
451.5,0
452,2
452.5,0
453,2
453.5,0
454,2
454.5,0
455,2
455.5,0
456,2
456.5,0
457,2
457.5,0
458,2
458.5,0
459,2
459.5,0
460,0
460.5,2
461,0
461.5,2
462,0
462.5,2
463,0
463.5,2
464,0
464.5,2
465,0
465.5,2
466,0
466.5,2
467,0
467.5,2
468,0
468.5,2
469,0
469.5,2
470,0
470.5,2
471,0
471.5,2
472,0
472.5,0
473,2
473.5,0
474,2
474.5,0
475,2
475.5,0
476,2
476.5,0
477,2
477.5,0
478,2
478.5,0
479,2
479.5,0
480,2
480.5,0
481,2
481.5,0
482,2
482.5,0
483,1
483.5,1
484,0
484.5,2
485,0
485.5,2
486,0
486.5,2
487,0
487.5,2
488,0
488.5,2
489,0
489.5,2
490,0
490.5,2
491,0
491.5,2
492,0
492.5,2
493,0
493.5,2
494,0
494.5,2
495,0
495.5,0
496,2
496.5,0
497,2
497.5,0
498,2
498.5,0
499,2
499.5,0
500,2
500.5,0
501,2
501.5,0
502,2
502.5,0
503,2
503.5,0
504,2
504.5,0
505,2
505.5,0
506,2
506.5,0
507,2
507.5,0
508,0
508.5,2
509,0
509.5,2
510,0
510.5,2
511,0
511.5,2
512,0
512.5,2
513,0
513.5,2
514,0
514.5,2
515,0
515.5,2
516,0
516.5,2
517,0
517.5,2
518,0
518.5,2
519,0
519.5,0
520,2
520.5,0
521,2
521.5,0
522,2
522.5,0
523,2
523.5,0
524,2
524.5,0
525,2
525.5,0
526,2
526.5,0
527,2
527.5,0
528,2
528.5,0
529,2
529.5,0
530,2
530.5,0
531,1
531.5,1
532,0
532.5,2
533,0
533.5,2
534,0
534.5,2
535,0
535.5,2
536,0
536.5,2
537,0
537.5,2
538,0
538.5,2
539,0
539.5,2
540,0
540.5,2
541,0
541.5,2
542,0
542.5,2
543,0
543.5,0
544,2
544.5,0
545,2
545.5,0
546,2
546.5,0
547,2
547.5,0
548,2
548.5,0
549,2
549.5,0
550,2
550.5,0
551,2
551.5,0
552,2
552.5,0
553,2
553.5,0
554,2
554.5,0
555,0
555.5,2
556,0
556.5,2
557,0
557.5,2
558,0
558.5,2
559,0
559.5,2
560,0
560.5,2
561,0
561.5,2
562,0
562.5,2
563,0
563.5,2
564,0
564.5,2
565,0
565.5,2
566,0
566.5,2
567,0
567.5,0
568,2
568.5,0
569,2
569.5,0
570,2
570.5,0
571,2
571.5,0
572,2
572.5,0
573,2
573.5,0
574,2
574.5,0
575,2
575.5,0
576,2
576.5,0
577,2
577.5,0
578,2
578.5,0
579,2
579.5,0
580,0
580.5,2
581,0
581.5,2
582,0
582.5,2
583,0
583.5,2
584,0
584.5,2
585,0
585.5,2
586,0
586.5,2
587,0
587.5,2
588,0
588.5,2
