"Interval start","Filtered packets"
0,0
1,0
2,0
3,4
4,2
5,1
6,0
7,0
8,0
9,4
10,2
11,0
12,0
13,0
14,2
15,4
16,0
17,0
18,0
19,0
20,0
21,2
22,8
23,0
24,0
25,1
26,0
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,4
35,2
36,0
37,0
38,0
39,0
40,2
41,0
42,0
43,0
44,0
45,1
46,2
47,0
48,0
49,0
50,2
51,0
52,0
53,0
54,0
55,2
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,4
65,1
66,0
67,0
68,0
69,4
70,1
71,0
72,7
73,1
74,0
75,4
76,0
77,0
78,0
79,2
80,0
81,2
82,8
83,0
84,0
85,3
86,6
87,1
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,2
96,0
97,4
98,4
99,0
100,0
101,0
102,0
103,0
104,0
105,1
106,0
107,0
108,0
109,0
110,2
111,0
112,0
113,0
114,0
115,4
116,0
117,0
118,0
119,0
120,0
121,2
122,0
123,0
124,5
125,1
126,0
127,0
128,0
129,0
130,1
131,5
132,0
133,2
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,3
142,8
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,4
152,0
153,0
154,0
155,4
156,0
157,2
158,0
159,0
160,4
161,3
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,2
171,2
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,4
186,0
187,2
188,0
189,0
190,0
191,2
192,4
193,2
194,0
195,0
196,0
197,0
198,4
199,0
200,6
201,3
202,8
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,2
212,0
213,0
214,0
215,4
216,0
217,0
218,0
219,0
220,0
221,1
222,0
223,2
224,4
225,0
226,0
227,0
228,0
229,2
230,2
231,2
232,0
233,0
234,0
235,0
236,0
237,0
238,4
239,0
240,0
241,5
242,0
243,0
244,0
245,4
246,2
247,0
248,0
249,0
250,0
251,0
252,4
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,2
262,8
263,3
264,1
265,0
266,0
267,2
268,0
269,2
270,0
271,0
272,0
273,0
274,0
275,0
276,4
277,1
278,0
279,0
280,0
281,0
282,0
283,1
284,0
285,0
286,0
287,6
288,0
289,0
290,2
291,0
292,0
293,0
294,0
295,0
296,1
297,2
298,0
299,2
300,0
301,0
302,6
303,0
304,0
305,2
306,4
307,2
308,0
309,0
310,0
311,2
312,0
313,0
314,2
315,2
316,0
317,1
318,0
319,0
320,0
321,2
322,8
323,0
324,0
325,2
326,1
327,2
328,1
329,1
330,0
331,0
332,0
333,0
334,2
335,0
336,5
337,1
338,0
339,0
340,2
341,0
342,0
343,0
344,0
345,0
346,0
347,2
348,0
349,0
350,6
351,0
352,0
353,0
354,4
355,0
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,1
366,1
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,4
376,1
377,0
378,0
379,0
380,0
381,1
382,9
383,0
384,0
385,0
386,2
387,0
388,0
389,6
390,2
391,0
392,0
393,0
394,0
395,0
396,1
397,2
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,6
407,4
408,0
409,0
410,0
411,0
412,0
413,3
414,4
415,0
416,1
417,0
418,0
419,2
420,0
421,0
422,0
423,0
424,7
425,0
426,2
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,4
436,1
437,0
438,0
439,0
440,0
441,0
442,0
443,2
444,0
445,0
446,2
447,0
448,0
449,2
450,0
451,0
452,0
453,0
454,0
455,2
456,7
457,0
458,4
459,0
460,4
461,0
462,0
463,0
464,0
465,0
466,2
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,1
475,1
476,0
477,4
478,0
479,0
480,0
481,0
482,0
483,0
484,2
485,1
486,0
487,0
488,5
489,0
490,0
491,2
492,0
493,0
494,0
495,2
496,0
497,4
498,0
499,0
500,0
501,1
502,9
503,0
504,0
505,1
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,2
516,0
517,0
518,0
519,4
520,2
521,0
522,0
523,0
524,0
525,1
526,2
527,0
528,0
529,0
