"Interval start","Filtered packets"
0,440
60,469
120,461
180,469
240,461
300,469
360,461
420,468
480,461
540,468
600,461
660,461
720,468
780,461
840,419
900,442
960,469
1020,443
1080,461
1140,468
1200,461
1260,469
1320,461
1380,461
1440,469
1500,461
1560,461
1620,468
1680,461
1740,468
1800,461
1860,476
1920,461
1980,461
2040,469
2100,461
2160,461
2220,454
2280,461
2340,469
2400,461
2460,469
2520,461
2580,461
2640,461
2700,461
2760,476
2820,461
2880,469
2940,461
3000,461
3060,468
3120,461
3180,461
3240,469
3300,440
3360,469
3420,461
3480,461
3540,469
3600,461
3660,469
3720,469
3780,461
3840,468
3900,461
3960,461
4020,469
4080,461
4140,469
4200,461
4260,461
4320,468
4380,461
4440,469
4500,461
4560,469
4620,469
4680,461
4740,468
4800,461
4860,468
4920,461
4980,468
5040,461
5100,461
5160,468
5220,453
5280,468
5340,461
5400,461
5460,477
5520,461
5580,461
5640,469
5700,461
5760,461
5820,469
5880,461
5940,468
6000,461
6060,469
6120,461
6180,469
6240,461
6300,461
6360,476
6420,432
6480,468
6540,461
6600,464
6660,461
6720,469
6780,461
6840,461
6900,468
6960,461
7020,468
7080,440
7140,469
7200,461
7260,476
7320,461
7380,461
7440,469
7500,461
7560,461
7620,468
7680,461
7740,468
7800,461
7860,461
7920,468
7980,435
8040,469
8100,461
8160,469
8220,469
8280,461
8340,461
8400,469
8460,461
8520,469
8580,427
8640,420
8700,469
8760,461
8820,461
8880,461
8940,461
9000,468
9060,469
9120,461
9180,469
9240,461
9300,461
9360,469
9420,461
9480,469
9540,461
9600,461
9660,449
9720,443
9780,469
9840,461
9900,461
9960,476
10020,461
10080,468
10140,461
10200,461
10260,447
10320,461
10380,469
10440,461
10500,461
10560,469
10620,461
10680,469
10740,461
10800,461
10860,476
10920,461
10980,468
11040,461
11100,461
11160,468
11220,461
11280,461
11340,469
11400,461
11460,469
11520,461
11580,461
11640,468
11700,461
11760,476
11820,461
11880,469
11940,461
12000,487
12060,468
12120,411
12180,461
12240,468
12300,461
12360,468
12420,461
12480,461
12540,461
12600,461
12660,477
12720,461
12780,452
12840,461
12900,461
12960,469
13020,461
13080,468
13140,411
13200,468
13260,461
13320,461
13380,468
13440,461
13500,468
13560,469
13620,468
13680,461
13740,461
13800,469
13860,461
13920,469
13980,461
14040,469
14100,411
14160,461
14220,468
14280,461
14340,461
14400,468
14460,469
14520,468
14580,461
14640,468
14700,461
14760,461
14820,469
14880,411
14940,469
15000,461
15060,461
15120,468
15180,461
15240,469
15300,411
15360,431
15420,469
15480,461
15540,461
15600,468
15660,461
15720,469
15780,461
15840,469
15900,461
15960,469
16020,461
16080,461
16140,469
16200,461
16260,476
16320,461
16380,461
16440,468
16500,443
16560,469
16620,461
16680,469
16740,461
16800,461
16860,468
16920,461
16980,461
17040,469
17100,404
17160,476
17220,461
17280,469
17340,461
17400,461
17460,469
17520,446
17580,468
17640,461
17700,468
17760,461
17820,461
17880,469
17940,461
18000,469
18060,469
18120,469
18180,461
18240,435
18300,468
18360,461
18420,461
18480,469
18540,461
18600,469
18660,437
18720,461
18780,469
18840,461
18900,469
18960,469
19020,461
19080,469
19140,461
19200,469
19260,461
19320,469
19380,461
19440,445
19500,469
19560,461
19620,414
19680,469
19740,461
19800,461
19860,477
19920,461
19980,460
20040,461
20100,461
20160,469
20220,461
20280,461
20340,469
20400,461
20460,469
20520,461
20580,411
20640,468
20700,433
20760,477
20820,461
20880,461
20940,468
21000,461
21060,461
21120,445
21180,461
21240,461
21300,418
21360,461
21420,469
21480,461
21540,469
21600,461
21660,476
21720,461
21780,469
21840,461
21900,461
21960,468
22020,461
22080,461
22140,469
22200,461
22260,461
22320,468
22380,411
22440,469
22500,461
22560,477
22620,446
22680,445
22740,439
22800,445
22860,439
22920,445
22980,439
23040,406
23100,445
23160,439
23220,445
23280,439
23340,439
23400,445
23460,447
23520,445
23580,439
23640,439
23700,445
23760,439
23820,445
23880,439
23940,439
24000,445
24060,439
24120,439
24180,445
24240,439
24300,439
24360,453
24420,439
24480,445
24540,439
24600,445
24660,439
24720,439
24780,439
24840,461
24900,439
24960,461
25020,439
25080,439
25140,461
25200,439
25260,447
25320,439
25380,461
25440,439
25500,445
25560,439
25620,445
25680,439
25740,439
25800,445
25860,439
25920,445
25980,439
26040,439
26100,445
26160,415
26220,445
26280,439
26340,439
26400,445
26460,439
26520,439
26580,445
26640,439
26700,407
26760,430
26820,445
26880,439
26940,439
27000,445
27060,447
27120,439
27180,445
27240,439
27300,445
27360,439
27420,439
27480,422
27540,439
27600,1052
27660,2011
27720,2005
27780,2011
27840,2005
27900,2005
27960,2020
28020,2031
28080,2011
28140,2005
28200,1363
28260,439
28320,439
28380,445
28440,439
28500,445
28560,439
28620,439
28680,395
28740,439
28800,445
28860,426
28920,439
28980,415
29040,439
29100,435
29160,445
29220,6650
29280,12616
29340,12621
29400,12604
29460,12634
29520,12590
29580,12622
29640,12640
29700,12591
29760,12604
29820,6432
29880,445
29940,439
30000,439
30060,445
30120,439
30180,445
30240,439
30300,439
30360,445
30420,439
30480,439
30540,445
30600,439
30660,453
30720,439
30780,445
30840,23957
30900,32110
30960,32456
31020,32439
31080,32353
31140,32353
31200,32348
31260,32542
31320,32051
31380,32246
31440,8861
31500,440
31560,447
31620,439
31680,445
31740,439
31800,445
31860,394
31920,439
31980,445
32040,439
32100,439
32160,445
32220,439
32280,445
32340,439
32400,445
32460,447
32520,439
32580,445
32640,439
32700,439
32760,445
32820,439
32880,445
32940,439
33000,439
33060,445
33120,439
33180,439
33240,445
33300,439
33360,453
33420,439
33480,445
33540,439
33600,395
33660,439
33720,439
33780,437
33840,421
33900,445
33960,439
34020,439
34080,433
34140,439
34200,439
34260,420
34320,439
34380,419
34440,439
34500,445
34560,438
34620,435
34680,443
34740,437
34800,439
34860,445
34920,439
34980,390
35040,401
35100,393
35160,410
35220,439
35280,428
35340,411
35400,423
35460,417
35520,389
35580,423
35640,424
35700,439
35760,428
35820,427
35880,427
35940,435
36000,437
36060,450
36120,439
36180,439
36240,445
36300,439
36360,395
36420,392
36480,399
36540,403
36600,404
36660,403
36720,367
36780,415
36840,412
36900,419
36960,423
37020,445
37080,439
37140,439
37200,421
37260,439
37320,439
37380,445
37440,439
37500,395
37560,415
37620,439
37680,395
37740,391
37800,445
37860,407
37920,445
37980,438
38040,445
38100,439
38160,439
38220,445
38280,439
38340,418
38400,439
38460,439
38520,445
38580,439
38640,445
38700,439
38760,447
38820,445
38880,439
38940,439
39000,445
39060,439
39120,445
39180,439
39240,394
39300,404
39360,399
39420,439
39480,414
39540,407
39600,415
39660,420
39720,433
39780,391
39840,417
39900,424
39960,439
40020,431
40080,430
40140,428
40200,427
40260,439
40320,389
40380,439
40440,407
40500,445
40560,447
40620,445
40680,439
40740,439
40800,445
40860,439
40920,445
40980,439
41040,439
41100,545
41160,456
41220,468
41280,461
41340,461
41400,469
41460,455
41520,469
41580,461
41640,461
41700,469
41760,461
41820,468
41880,461
41940,469
42000,465
42060,461
42120,454
42180,461
42240,465
42300,461
42360,469
42420,469
42480,461
42540,468
42600,461
42660,468
42720,461
42780,461
42840,469
42900,461
42960,425
43020,469
43080,461
43140,468
43200,461
43260,469
43320,469
43380,461
43440,461
43500,424
43560,461
43620,468
43680,461
43740,461
43800,468
43860,461
43920,461
43980,461
44040,461
44100,429
44160,469
44220,430
44280,469
44340,461
44400,461
44460,468
44520,461
44580,468
44640,461
44700,461
44760,469
44820,443
44880,461
44940,468
45000,461
45060,469
45120,468
45180,411
45240,468
45300,461
45360,461
45420,469
45480,461
45540,468
45600,461
45660,461
45720,469
45780,461
45840,469
45900,461
45960,469
46020,468
46080,461
46140,461
46200,468
46260,451
46320,461
46380,468
46440,461
46500,468
46560,461
46620,461
46680,469
46740,461
46800,468
46860,469
46920,468
46980,461
47040,461
47100,468
47160,461
47220,449
47280,461
47340,469
47400,461
47460,461
47520,468
47580,461
47640,461
47700,468
47760,469
47820,468
47880,461
47940,461
48000,468
48060,461
48120,449
48180,461
48240,461
48300,467
48360,461
48420,461
48480,468
48540,461
48600,461
48660,476
48720,461
48780,468
48840,461
48900,461
48960,468
49020,461
49080,461
49140,469
49200,461
49260,461
49320,446
49380,461
49440,468
49500,461
49560,469
49620,468
49680,461
49740,468
49800,461
49860,461
49920,457
49980,461
50040,469
50100,461
50160,468
50220,461
50280,461
50340,468
50400,461
50460,477
50520,442
50580,461
50640,469
50700,461
50760,469
50820,461
50880,468
50940,461
51000,461
51060,468
51120,415
51180,469
51240,461
51300,461
51360,477
51420,461
51480,461
51540,468
51600,461
51660,414
51720,461
51780,469
51840,461
51900,461
51960,454
52020,461
52080,449
52140,461
52200,469
52260,469
52320,414
52380,468
52440,453
52500,461
52560,469
52620,449
52680,468
52740,461
52800,456
52860,461
52920,449
52980,469
53040,461
53100,469
53160,469
53220,469
53280,461
53340,461
53400,468
53460,413
53520,469
53580,461
53640,461
53700,468
53760,461
53820,461
53880,468
53940,461
54000,436
54060,469
54120,461
54180,468
54240,461
54300,469
54360,461
54420,458
54480,461
54540,461
54600,468
54660,461
54720,468
54780,461
54840,468
54900,461
54960,477
55020,461
55080,461
55140,521
55200,461
55260,468
55320,461
55380,461
55440,469
55500,461
55560,469
55620,461
55680,468
55740,461
55800,468
55860,469
55920,461
55980,468
56040,461
56100,468
56160,461
56220,469
56280,461
56340,461
56400,468
56460,461
56520,461
56580,460
56640,461
56700,462
56760,469
56820,461
56880,468
56940,461
57000,461
57060,468
57120,452
57180,468
57240,461
57300,461
57360,469
57420,461
57480,469
57540,461
57600,461
57660,477
57720,461
57780,469
57840,461
57900,461
57960,468
58020,461
58080,457
58140,461
58200,461
58260,461
58320,420
58380,468
58440,461
58500,468
58560,469
58620,446
58680,468
58740,461
58800,468
58860,446
58920,461
58980,469
59040,461
59100,469
59160,461
59220,469
59280,446
59340,404
59400,396
59460,439
59520,461
59580,468
59640,461
59700,461
59760,447
59820,461
59880,469
59940,461
60000,469
60060,461
60120,461
60180,468
60240,461
60300,469
60360,469
60420,461
60480,468
60540,461
60600,461
60660,469
60720,461
60780,469
60840,461
60900,448
60960,469
61020,461
61080,469
61140,452
61200,461
61260,477
61320,411
61380,461
61440,422
61500,461
61560,468
61620,438
61680,468
61740,461
61800,461
61860,469
61920,461
61980,430
62040,416
62100,410
62160,426
62220,461
62280,461
62340,468
62400,461
62460,461
62520,468
62580,461
62640,461
62700,451
62760,381
62820,368
62880,408
62940,378
63000,416
63060,396
63120,377
63180,372
63240,401
63300,395
63360,397
63420,396
63480,379
63540,414
63600,409
63660,431
63720,382
63780,404
63840,361
63900,385
63960,448
64020,468
64080,461
64140,461
64200,469
64260,461
64320,461
64380,468
64440,461
64500,468
64560,404
64620,411
64680,399
64740,396
64800,433
64860,419
64920,461
64980,469
65040,461
65100,468
65160,423
65220,411
65280,392
65340,389
65400,418
65460,368
65520,402
65580,407
65640,393
65700,386
65760,419
65820,469
65880,461
65940,461
66000,468
66060,456
66120,461
66180,433
66240,373
66300,418
66360,368
66420,415
66480,408
66540,382
66600,402
66660,419
66720,566
66780,573
66840,461
66900,461
66960,469
67020,461
67080,468
67140,461
67200,461
67260,469
67320,461
67380,468
67440,461
67500,469
67560,469
67620,468
67680,461
67740,461
67800,468
67860,461
67920,468
67980,461
68040,468
68100,461
68160,465
68220,461
68280,461
68340,469
68400,461
68460,477
68520,461
68580,461
68640,468
68700,461
68760,469
68820,461
68880,461
68940,469
69000,461
69060,461
69120,468
69180,461
69240,468
69300,461
69360,469
69420,468
69480,461
69540,431
69600,461
69660,461
69720,469
69780,461
69840,458
69900,461
69960,461
70020,469
70080,448
70140,469
70200,461
70260,469
70320,468
70380,461
70440,468
70500,461
70560,461
70620,469
70680,461
70740,468
70800,461
70860,461
70920,469
70980,461
71040,469
71100,461
71160,469
71220,468
71280,461
71340,424
71400,468
71460,435
71520,461
71580,468
71640,461
71700,469
71760,461
71820,461
71880,468
71940,461
72000,419
72060,469
72120,461
72180,469
72240,461
72300,461
72360,469
72420,461
72480,469
72540,461
72600,468
72660,461
72720,468
72780,442
72840,448
72900,468
72960,469
73020,469
73080,461
73140,461
73200,468
73260,461
73320,461
73380,468
73440,461
73500,468
73560,431
73620,461
73680,469
73740,461
73800,468
73860,469
73920,461
73980,469
74040,461
74100,461
74160,468
74220,461
74280,468
74340,461
74400,468
74460,461
74520,469
74580,461
74640,461
74700,478
74760,469
74820,468
74880,461
74940,461
75000,469
75060,461
75120,468
75180,461
75240,461
75300,468
75360,461
75420,468
75480,461
75540,461
75600,468
75660,469
75720,461
75780,426
75840,461
75900,468
75960,461
76020,461
76080,468
76140,461
76200,469
76260,461
76320,461
76380,422
76440,461
76500,469
76560,469
76620,452
76680,469
76740,461
76800,461
76860,468
76920,461
76980,468
77040,461
77100,461
77160,469
77220,461
77280,468
77340,419
77400,427
77460,476
77520,439
77580,469
77640,461
77700,440
77760,407
77820,461
77880,468
77940,461
78000,461
78060,468
78120,461
78180,461
78240,469
78300,461
78360,469
78420,419
78480,461
78540,468
78600,461
78660,461
78720,468
78780,461
78840,468
78900,461
78960,468
79020,461
79080,442
79140,461
79200,416
79260,476
79320,458
79380,438
79440,468
79500,461
79560,468
79620,461
79680,447
79740,461
79800,461
79860,438
79920,461
79980,468
80040,461
80100,429
80160,434
80220,430
80280,435
80340,427
80400,412
80460,468
80520,461
80580,439
80640,461
80700,461
80760,468
80820,461
80880,469
80940,461
81000,467
81060,469
81120,461
81180,469
81240,461
81300,461
81360,468
81420,461
81480,461
81540,468
81600,461
81660,469
81720,461
81780,461
81840,469
81900,461
81960,477
82020,461
82080,468
82140,461
82200,469
82260,461
82320,461
82380,469
82440,461
82500,461
82560,469
82620,461
82680,461
82740,469
82800,461
82860,476
82920,461
82980,461
83040,469
83100,461
83160,468
83220,461
83280,469
83340,461
83400,461
83460,468
83520,461
83580,461
83640,469
83700,461
83760,477
83820,461
83880,461
83940,468
84000,461
84060,469
84120,461
84180,423
84240,461
84300,468
84360,461
84420,461
84480,468
84540,461
84600,468
84660,469
84720,461
84780,469
84840,461
84900,468
84960,461
85020,469
85080,461
85140,461
85200,467
85260,461
85320,461
85380,469
85440,461
85500,468
85560,469
85620,469
85680,461
85740,461
85800,469
85860,461
85920,468
85980,461
86040,461
86100,468
86160,461
86220,468
86280,461
86340,461
