"Interval start","Filtered packets"
0,170
10,0
20,6
30,165
40,0
50,0
60,204
70,1
80,18
90,235
100,1
110,0
120,213
130,0
140,6
150,213
160,0
170,0
180,213
190,4
200,12
210,213
220,20
230,0
240,213
250,6
260,0
270,213
280,0
290,0
300,169
310,0
320,0
330,169
340,8
350,22
360,188
370,0
380,0
390,169
400,0
410,6
420,172
430,0
440,0
450,174
460,6
470,11
480,221
490,10
500,0
510,187
520,0
530,0
540,195
550,0
560,0
570,176
580,0
590,0
600,166
610,0
620,6
630,187
640,0
650,20
660,194
670,6
680,0
690,163
700,0
710,0
720,181
730,0
740,0
750,173
760,0
770,6
780,170
790,0
800,0
810,176
820,19
830,16
840,163
850,0
860,0
870,176
880,6
890,0
900,180
910,0
920,0
930,195
940,0
950,0
960,163
970,1
980,12
990,185
1000,20
1010,0
1020,175
1030,0
1040,0
1050,219
1060,0
1070,0
1080,213
1090,0
1100,6
1110,213
1120,19
1130,0
1140,213
1150,12
1160,4
1170,213
1180,0
1190,0
1200,213
1210,6
1220,0
1230,213
1240,0
1250,0
1260,219
1270,14
1280,6
1290,223
1300,0
1310,6
1320,213
1330,0
1340,0
1350,213
1360,6
1370,0
1380,213
1390,0
1400,0
1410,219
1420,0
1430,19
1440,224
1450,0
1460,0
1470,219
1480,0
1490,0
1500,213
1510,0
1520,6
1530,213
1540,0
1550,0
1560,229
1570,13
1580,6
1590,213
1600,0
1610,0
1620,213
1630,6
1640,0
1650,204
1660,0
1670,0
1680,219
1690,0
1700,0
1710,213
1720,19
1730,16
1740,213
1750,0
1760,0
1770,168
1780,6
1790,0
1800,189
1810,0
1820,0
1830,176
1840,0
1850,9
1860,204
1870,1
1880,2
1890,190
1900,7
1910,10
1920,185
1930,0
1940,0
1950,185
1960,0
1970,0
1980,182
1990,0
2000,19
2010,198
2020,0
2030,10
2040,190
2050,0
2060,6
2070,213
2080,0
2090,0
2100,168
2110,6
2120,0
2130,196
2140,0
2150,0
2160,208
2170,19
2180,0
2190,194
2200,0
2210,0
2220,190
2230,0
2240,0
2250,201
2260,0
2270,6
2280,197
2290,0
2300,0
2310,194
2320,6
2330,0
2340,197
2350,12
2360,0
2370,207
2380,0
2390,0
2400,163
2410,0
2420,6
2430,192
2440,0
2450,0
2460,169
2470,6
2480,10
2490,193
2500,17
2510,3
2520,195
2530,6
2540,0
2550,176
2560,0
2570,0
2580,206
2590,0
2600,0
2610,175
2620,10
2630,6
2640,186
2650,0
2660,19
2670,167
2680,0
2690,6
2700,175
2710,0
2720,0
2730,191
2740,6
2750,10
2760,213
2770,1
2780,2
2790,234
2800,4
2810,6
2820,213
2830,0
2840,0
2850,213
2860,6
2870,0
2880,213
2890,0
2900,0
2910,229
2920,0
2930,48
2940,214
2950,0
2960,0
2970,219
2980,0
2990,0
3000,213
3010,0
3020,6
3030,213
3040,10
3050,0
3060,213
3070,6
3080,0
3090,213
3100,17
3110,3
3120,219
3130,0
3140,0
3150,213
3160,0
3170,6
3180,176
3190,0
3200,0
3210,213
3220,0
3230,6
3240,213
3250,0
3260,0
3270,233
3280,6
3290,0
3300,213
3310,0
3320,0
3330,219
3340,0
3350,0
3360,205
3370,0
3380,6
3390,201
3400,0
3410,49
3420,213
3430,0
3440,6
3450,213
3460,0
3470,0
3480,213
3490,6
3500,7
3510,173
3520,0
3530,0
3540,214
3550,6
3560,0
3570,170
3580,0
3590,0
3600,202
3610,0
3620,0
3630,166
3640,0
3650,6
3660,217
3670,2
3680,2
3690,182
3700,10
3710,0
3720,178
3730,0
3740,0
3750,199
3760,0
3770,6
3780,170
3790,0
3800,4
3810,169
3820,6
3830,0
3840,188
3850,9
3860,0
3870,169
3880,0
3890,0
3900,202
3910,0
3920,6
3930,167
3940,0
3950,0
3960,173
3970,6
3980,6
3990,163
4000,0
4010,0
4020,193
4030,6
4040,0
4050,187
4060,0
4070,0
4080,197
4090,0
4100,0
4110,198
4120,0
4130,16
4140,213
4150,0
4160,0
4170,192
4180,0
4190,6
4200,178
4210,0
4220,0
4230,170
4240,6
4250,0
4260,188
4270,0
4280,0
4290,219
4300,10
4310,0
4320,213
4330,0
4340,6
4350,213
4360,0
4370,0
4380,213
4390,6
4400,0
4410,213
4420,0
4430,0
4440,219
4450,10
4460,0
4470,213
4480,0
4490,20
4500,219
4510,0
4520,0
4530,213
4540,0
4550,6
4560,213
4570,1
4580,2
4590,217
4600,1
4610,6
4620,227
4630,46
