"Interval start","Filtered packets"
0,15
60,54
120,16
180,36
240,15
300,38
360,14
420,25
480,31
540,14
600,27
660,21
720,14
780,34
840,13
900,13
960,37
1020,13
1080,27
1140,24
1200,15
1260,34
1320,14
1380,30
1440,22
1500,14
1560,58
1620,16
1680,39
1740,14
1800,29
1860,25
1920,17
1980,43
2040,17
2100,17
2160,41
2220,16
2280,25
2340,33
2400,15
2460,39
2520,17
2580,22
2640,35
2700,22
2760,31
2820,17
2880,69
2940,15
3000,23
3060,31
3120,15
3180,25
3240,33
3300,17
3360,69
3420,14
3480,30
3540,29
3600,15
3660,39
3720,12
3780,18
3840,26
3900,14
3960,22
4020,33
4080,22
4140,31
4200,15
4260,22
4320,18
4380,16
4440,40
4500,14
4560,2
4620,78
4680,15
4740,24
4800,34
4860,17
4920,43
4980,15
5040,18
5100,47
5160,15
5220,38
5280,16
5340,14
5400,39
5460,15
5520,24
5580,20
5640,28
5700,34
5760,16
5820,38
5880,21
5940,42
6000,16
6060,23
6120,31
6180,23
6240,16
6300,47
6360,24
6420,31
6480,34
6540,33
6600,26
6660,39
6720,51
6780,24
6840,46
6900,34
6960,48
7020,57
7080,24
7140,41
7200,31
7260,15
7320,40
7380,318
7440,34
7500,32
7560,16
7620,38
7680,21
7740,56
7800,20
7860,25
7920,29
7980,16
8040,25
8100,30
8160,16
8220,24
8280,34
8340,65
8400,32
8460,47
8520,35
8580,30
8640,39
8700,42
8760,56
8820,22
8880,18
8940,26
9000,25
9060,29
9120,16
9180,26
9240,33
9300,17
9360,48
9420,12
9480,28
9540,29
9600,12
9660,43
9720,16
9780,34
9840,21
9900,52
9960,38
10020,37
10080,39
10140,33
10200,16
10260,43
10320,18
10380,22
10440,38
10500,16
10560,42
10620,15
10680,40
10740,15
10800,57
10860,16
10920,31
10980,31
11040,17
11100,31
11160,27
11220,33
11280,15
11340,23
11400,31
11460,25
11520,16
11580,29
11640,27
11700,31
11760,15
11820,36
11880,19
11940,39
12000,19
12060,28
12120,23
12180,15
12240,60
12300,16
12360,21
12420,38
12480,26
12540,42
12600,16
12660,15
12720,42
12780,15
12840,34
12900,23
12960,16
13020,37
13080,20
13140,30
13200,26
13260,17
13320,35
13380,16
13440,19
13500,39
13560,17
13620,38
13680,19
13740,44
13800,28
13860,14
13920,37
13980,15
14040,32
14100,55
14160,28
14220,16
14280,10
14340,34
14400,25
14460,31
14520,27
14580,15
14640,31
14700,25
14760,30
14820,14
14880,39
14940,17
15000,16
15060,38
15120,18
15180,24
15240,51
15300,23
15360,16
15420,32
15480,23
15540,31
15600,19
15660,14
15720,72
15780,24
15840,17
15900,31
15960,26
16020,28
16080,22
16140,16
16200,37
16260,23
16320,17
16380,31
16440,23
16500,18
16560,38
16620,15
16680,35
16740,23
16800,14
16860,38
16920,16
16980,22
17040,33
17100,30
17160,28
17220,15
17280,37
17340,34
17400,51
17460,22
17520,15
17580,39
17640,17
17700,15
17760,38
17820,14
17880,36
17940,16
18000,16
18060,38
18120,15
18180,39
18240,19
18300,18
18360,38
18420,13
18480,31
18540,15
18600,60
18660,32
18720,16
18780,27
18840,25
18900,17
18960,30
19020,24
19080,31
19140,23
19200,29
19260,17
19320,23
19380,31
19440,16
19500,23
19560,30
19620,22
19680,32
19740,17
19800,25
19860,30
19920,25
19980,14
20040,32
20100,28
20160,31
20220,15
20280,62
20340,14
20400,25
20460,29
20520,17
20580,38
20640,15
20700,28
20760,25
20820,30
20880,23
20940,9
21000,38
21060,13
21120,31
21180,23
21240,33
21300,23
21360,32
21420,14
21480,18
21540,25
21600,20
21660,49
21720,17
21780,42
21840,18
21900,25
21960,33
22020,24
22080,27
22140,25
22200,18
22260,29
22320,25
22380,32
22440,15
22500,24
22560,29
22620,22
22680,15
22740,42
22800,17
22860,41
22920,14
22980,15
23040,36
23100,16
23160,65
23220,14
23280,15
23340,40
23400,16
23460,40
23520,17
23580,26
23640,30
23700,26
23760,25
23820,13
23880,14
23940,57
24000,21
24060,40
24120,15
24180,14
24240,38
24300,14
24360,43
24420,15
24480,24
