"Interval start","Filtered packets"
0,1
1,0
2,0
3,0
4,0
5,1
6,1
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,1
27,1
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,1
41,0
42,0
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,1
54,1
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,1
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,2
79,0
80,1
81,0
82,8
83,1
84,1
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,0
93,1
94,23
95,4
96,3
97,1
98,1
99,0
100,1
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,1
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,1
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,1
139,1
140,1
141,0
142,0
143,1
144,0
145,0
146,0
147,0
148,1
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,1
160,1
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,0
169,0
170,1
171,1
172,1
173,0
174,0
175,0
176,0
177,0
178,0
179,1
180,1
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,0
191,0
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,0
200,1
201,0
202,0
203,5
204,2
205,1
206,1
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,1
216,0
217,0
218,0
219,0
220,11
221,4
222,1
223,1
224,2
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,2
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,1
241,0
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,1
250,0
251,1
252,0
253,0
254,1
255,0
256,0
257,0
258,0
259,0
260,1
261,0
262,1
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,1
272,0
273,0
274,0
275,1
276,0
277,0
278,0
279,0
280,2
281,0
282,0
283,0
284,1
285,0
286,0
287,0
288,0
289,1
290,0
291,0
292,1
293,0
294,0
295,0
296,0
297,0
298,1
299,0
300,1
301,0
302,0
303,0
304,0
305,0
306,1
307,1
308,0
309,1
310,0
311,0
312,0
313,0
314,0
315,1
316,0
317,0
318,0
319,0
320,1
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,1
341,1
342,0
343,0
344,0
345,1
346,0
347,0
348,0
349,3
350,9
351,2
352,9
353,2
354,1
355,0
356,0
357,0
358,1
359,0
360,1
361,0
362,1
363,0
364,1
365,0
366,0
367,0
368,0
369,0
370,1
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,1
380,1
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,1
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,0
400,2
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,0
410,1
411,1
412,1
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,3
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,1
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,2
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,1
450,0
451,0
452,0
453,0
454,0
455,1
456,0
457,1
458,0
459,0
460,0
461,1
462,0
463,0
464,0
465,0
466,1
467,0
468,0
469,0
470,0
471,0
472,1
473,0
474,0
475,1
476,1
477,0
478,0
479,11
480,2
481,1
482,1
483,1
484,1
485,0
486,0
487,0
488,0
489,0
490,0
491,14
492,2
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,1
501,1
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,1
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,1
520,1
521,0
522,0
523,0
524,0
525,0
526,0
527,1
528,0
529,0
530,0
531,0
532,1
533,1
534,0
535,0
536,1
537,0
538,0
539,0
540,1
541,0
542,0
543,0
544,0
545,1
546,0
547,0
548,0
549,1
550,0
551,0
552,0
553,0
554,1
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,1
564,0
565,0
566,0
567,0
568,0
569,0
570,1
571,0
572,0
573,0
574,0
575,1
576,0
577,0
578,0
579,2
580,1
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,2
590,0
591,0
592,1
593,0
594,0
595,0
596,0
597,0
598,1
599,0
600,1
601,0
602,0
603,0
604,0
605,0
606,0
607,1
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,1
617,0
618,0
619,0
620,1
621,0
622,0
623,0
624,1
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,1
636,0
637,0
638,0
639,0
640,1
641,0
642,0
643,0
644,1
645,1
646,0
647,0
648,0
649,0
650,0
651,12
652,3
653,2
654,1
655,0
656,0
657,0
658,0
659,0
660,1
661,0
662,0
663,1
664,0
665,3
666,1
667,1
668,3
669,0
670,0
671,0
672,1
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,2
681,0
682,0
683,1
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,1
693,0
694,0
695,1
696,0
697,0
698,0
699,0
700,0
701,1
702,1
703,0
704,1
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,2
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,1
721,1
722,0
723,0
724,1
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,1
734,0
735,0
736,0
737,0
738,0
739,0
740,1
741,0
742,0
743,0
744,0
745,0
746,0
747,1
748,0
749,0
750,1
751,0
752,0
753,0
754,0
755,1
756,0
757,0
758,1
759,0
760,1
761,0
762,0
763,0
764,0
765,1
766,0
767,0
768,0
769,0
770,0
771,0
772,1
773,0
774,1
775,0
776,0
777,1
778,0
779,0
780,1
781,0
782,0
783,0
784,0
785,0
786,1
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,1
796,0
797,0
798,0
799,0
800,1
801,0
802,0
803,1
804,0
805,0
806,1
807,0
808,0
809,0
810,0
811,0
812,1
813,0
814,1
815,0
816,0
817,0
818,0
819,0
820,1
821,0
822,0
823,0
824,1
825,0
826,11
827,2
828,1
829,1
830,6
831,1
832,2
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,1
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,1
849,1
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,1
858,0
859,0
860,1
861,0
862,0
863,0
864,0
865,0
866,1
867,0
868,0
869,0
870,0
871,1
872,0
873,0
874,1
875,1
876,0
877,0
878,0
879,0
880,1
881,0
882,0
883,1
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,2
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,1
901,1
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,1
910,0
911,0
912,1
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,1
921,1
922,0
923,0
924,0
925,0
926,0
927,1
928,0
929,0
930,1
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,2
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,1
950,0
951,0
952,1
953,0
954,0
955,0
956,0
957,0
958,1
959,0
960,0
961,1
962,0
963,0
964,0
965,0
966,0
967,1
968,0
969,0
970,1
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,1
980,1
981,0
982,0
983,7
984,1
985,1
986,0
987,1
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,1
997,0
998,0
999,0
1000,1
1001,0
1002,0
1003,5
1004,6
1005,6
1006,1
1007,0
1008,0
1009,0
1010,0
1011,1
1012,0
1013,1
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,1
1021,0
1022,1
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,1
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,2
1041,0
1042,0
1043,1
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,1
1053,0
1054,0
1055,0
1056,1
1057,0
1058,0
1059,0
1060,1
1061,1
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,1
1070,0
1071,0
1072,1
1073,0
1074,0
1075,0
1076,0
1077,0
1078,1
1079,0
1080,1
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,1
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,1
1096,1
1097,0
1098,0
1099,0
1100,1
1101,0
1102,0
1103,0
1104,0
1105,1
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,1
1115,0
1116,0
1117,0
1118,0
1119,0
1120,1
1121,0
1122,0
1123,1
1124,0
1125,5
1126,6
1127,3
1128,1
1129,1
1130,0
1131,0
1132,2
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,2
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,1
1150,5
1151,3
1152,2
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,2
1161,0
1162,0
1163,0
1164,0
1165,0
1166,1
1167,0
1168,0
1169,1
1170,0
1171,0
1172,0
1173,0
1174,0
1175,1
1176,0
1177,1
1178,0
1179,0
1180,2
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,1
1190,0
1191,0
1192,1
1193,0
1194,0
1195,0
1196,0
1197,0
1198,1
1199,0
1200,0
1201,1
1202,0
1203,0
1204,0
1205,0
1206,1
1207,0
1208,0
1209,1
1210,1
1211,0
1212,0
1213,0
1214,0
1215,1
1216,0
1217,0
1218,0
1219,0
1220,1
1221,0
1222,0
1223,0
1224,1
1225,0
1226,0
1227,0
1228,0
