"Interval start","All Packets"
0,6
10,5
20,3
30,4
40,10
50,7
60,7
70,6
80,3
90,3
100,7
110,4
120,20
130,9
140,5
150,6
160,5
170,3
180,10
190,2
200,2
210,4
220,9
230,4
240,2
250,8
260,4
270,7
280,8
290,6
300,3
310,10
320,3
330,2
340,8
350,4
360,8
370,2
380,4
390,2
400,8
410,6
420,6
430,5
440,3
450,5
460,6
470,4
480,5
490,7
500,4
510,7
520,10
530,4
540,6
550,3
560,6
570,8
580,8
590,11
600,8
610,4
620,2
630,5
640,13
650,7
660,4
670,5
680,1
690,2
700,11
710,4
720,5
730,9
740,2
750,3
760,7
770,7
780,3
790,2
800,2
810,2
820,7
830,9
840,3
850,3
860,4
870,6
880,4
890,7
900,12
910,4
920,3
930,5
940,10
950,6
960,9
970,11
980,2
990,5
1000,9
1010,3
1020,4
1030,12
1040,3
1050,3
1060,8
1070,4
1080,5
1090,8
1100,7
1110,3
1120,10
1130,4
1140,9
1150,3
1160,6
1170,2
1180,6
1190,11
1200,6
1210,8
1220,9
1230,4
1240,9
1250,8
1260,4
1270,4
1280,2
1290,4
1300,6
1310,8
1320,5
1330,6
1340,4
1350,3
1360,10
1370,3
1380,8
1390,1
1400,5
1410,2
1420,11
1430,6
1440,6
1450,5
1460,12
1470,14
1480,10
1490,8
1500,5
1510,3
1520,5
1530,8
1540,15
1550,6
1560,8
1570,1
1580,9
1590,2
1600,6
1610,7
1620,9
1630,2
1640,5
1650,2
1660,5
1670,4
1680,11
1690,3
1700,5
1710,1
1720,9
1730,6
1740,10
1750,6
1760,7
1770,1
1780,7
1790,7
1800,8
1810,5
1820,7
1830,2
1840,14
1850,2
1860,10
1870,2
1880,6
1890,0
1900,11
1910,2
1920,7
1930,3
1940,6
1950,2
1960,7
1970,4
1980,7
1990,2
2000,7
2010,2
2020,10
2030,8
2040,8
2050,1
2060,9
2070,5
2080,8
2090,4
2100,7
2110,3
2120,6
2130,6
2140,12
2150,5
2160,9
2170,4
2180,6
2190,2
2200,12
2210,3
2220,6
2230,0
2240,5
2250,2
2260,11
2270,3
2280,9
2290,2
2300,7
2310,3
2320,8
2330,6
2340,8
2350,2
2360,11
2370,1
2380,9
2390,10
2400,9
2410,1
2420,5
2430,2
2440,9
2450,7
2460,13
2470,1
2480,5
2490,0
2500,8
2510,3
2520,10
2530,3
2540,4
2550,1
2560,9
2570,4
2580,7
2590,10
2600,6
2610,5
2620,10
2630,7
2640,5
2650,8
2660,8
2670,0
2680,8
2690,1
2700,6
2710,3
2720,10
2730,3
2740,9
2750,6
2760,8
2770,5
2780,5
2790,3
2800,11
2810,3
2820,7
2830,3
2840,6
2850,7
2860,7
2870,2
2880,5
2890,2
2900,5
2910,2
2920,18
2930,3
2940,5
2950,4
2960,8
2970,0
2980,9
2990,5
3000,6
3010,0
3020,4
3030,0
3040,10
3050,5
3060,8
3070,3
3080,7
3090,0
3100,8
3110,5
3120,6
3130,0
3140,4
3150,0
3160,6
3170,7
3180,8
3190,0
3200,3
3210,4
3220,7
3230,4
3240,8
3250,3
3260,6
3270,3
3280,8
3290,5
3300,8
3310,1
3320,5
3330,1
3340,9
3350,3
3360,7
3370,6
3380,6
3390,8
3400,7
3410,2
3420,8
3430,4
3440,6
3450,3
3460,7
3470,3
3480,9
3490,3
3500,8
3510,2
3520,7
3530,5
3540,13
3550,2
3560,8
3570,5
3580,6
3590,4
3600,14
3610,2
3620,4
3630,6
3640,8
3650,3
3660,7
3670,4
3680,5
3690,10
3700,11
3710,7
3720,6
3730,3
3740,7
3750,1
3760,9
3770,4
3780,8
3790,2
3800,5
3810,1
3820,7
3830,3
3840,6
3850,7
3860,4
3870,0
3880,6
3890,8
3900,9
3910,6
3920,3
3930,1
3940,7
3950,7
3960,8
3970,3
3980,3
3990,2
4000,8
4010,5
4020,11
4030,2
4040,8
4050,0
4060,5
4070,2
4080,8
4090,1
4100,5
4110,2
4120,6
4130,5
4140,8
4150,6
4160,9
4170,2
4180,6
4190,7
4200,9
4210,2
4220,6
4230,3
4240,9
4250,3
4260,8
4270,3
4280,9
4290,0
4300,6
4310,7
4320,9
4330,7
4340,10
4350,1
4360,7
4370,8
4380,7
4390,2
4400,3
4410,4
4420,6
4430,6
4440,5
4450,1
4460,6
4470,3
4480,7
4490,2
4500,6
4510,2
4520,5
4530,1
4540,12
4550,3
4560,6
4570,4
4580,5
4590,3
4600,13
4610,4
4620,6
4630,4
4640,10
4650,2
4660,6
4670,8
4680,7
4690,1
4700,14
4710,0
4720,8
4730,9
4740,8
4750,4
4760,9
4770,1
4780,6
4790,5
4800,9
4810,4
4820,7
4830,1
4840,11
4850,3
4860,8
4870,3
4880,9
4890,3
4900,9
4910,3
4920,9
4930,5
4940,6
4950,2
4960,9
4970,3
4980,6
4990,5
5000,4
5010,2
5020,9
5030,7
5040,6
5050,3
5060,11
5070,1
5080,4
5090,9
5100,8
5110,3
5120,6
5130,5
5140,5
5150,4
5160,6
5170,1
5180,4
5190,7
5200,8
5210,3
5220,7
5230,0
5240,4
5250,5
5260,11
5270,4
5280,10
5290,3
5300,6
5310,3
5320,10
5330,2
5340,5
5350,2
5360,6
5370,0
5380,9
5390,9
5400,6
5410,2
5420,3
5430,0
5440,8
5450,10
5460,7
5470,3
5480,4
5490,3
5500,7
5510,4
5520,7
5530,1
5540,3
5550,3
5560,9
5570,4
5580,9
5590,0
5600,4
5610,1
5620,6
5630,2
5640,7
5650,5
5660,5
5670,2
5680,10
5690,3
5700,6
5710,8
5720,5
5730,4
5740,7
5750,3
5760,8
5770,2
5780,5
5790,2
5800,8
5810,4
5820,5
5830,4
5840,5
5850,2
5860,12
5870,5
5880,10
5890,1
5900,5
5910,6
5920,4
5930,2
5940,8
5950,5
5960,7
5970,6
5980,8
5990,5
6000,6
6010,4
6020,4
6030,4
6040,8
6050,4
6060,5
6070,5
6080,3
6090,2
6100,8
6110,4
6120,6
6130,2
6140,8
6150,2
6160,6
6170,5
6180,6
6190,4
6200,6
6210,3
6220,6
6230,8
6240,6
6250,4
6260,4
6270,3
6280,7
6290,3
6300,9
6310,3
6320,2
6330,2
6340,9
6350,5
6360,9
6370,5
6380,6
6390,3
6400,7
6410,3
6420,7
6430,3
6440,3
6450,3
6460,4
6470,5
6480,11
6490,6
6500,6
6510,6
6520,5
6530,6
6540,8
6550,7
6560,7
6570,1
6580,4
6590,6
6600,5
6610,2
6620,5
6630,2
6640,8
6650,4
6660,13
6670,4
6680,3
6690,4
6700,10
6710,4
6720,5
6730,4
6740,4
6750,5
6760,8
6770,3
6780,8
6790,7
6800,3
6810,6
6820,9
6830,5
6840,7
6850,6
6860,6
6870,3
6880,9
6890,9
6900,10
6910,8
6920,6
6930,7
6940,9
6950,6
6960,5
6970,6
6980,4
6990,4
7000,6
7010,8
7020,4
7030,8
7040,4
7050,6
7060,4
7070,7
7080,6
7090,13
7100,6
7110,8
7120,12
7130,10
7140,9
7150,9
7160,3
7170,3
7180,5
7190,6
7200,8
7210,14
7220,4
7230,2
7240,5
7250,6
7260,2
7270,10
7280,2
7290,4
7300,6
7310,4
7320,5
7330,9
7340,3
7350,5
7360,5
7370,6
7380,5
7390,8
7400,7
7410,9
7420,6
7430,8
7440,7
7450,8
7460,6
7470,6
7480,5
7490,6
7500,4
7510,8
7520,0
7530,9
7540,5
7550,5
7560,6
7570,7
7580,2
7590,5
7600,10
7610,3
7620,3
7630,7
7640,2
7650,4
7660,7
7670,5
7680,4
7690,5
7700,4
7710,8
7720,4
7730,9
7740,6
7750,9
7760,7
7770,4
7780,6
7790,9
7800,4
7810,6
7820,4
7830,6
7840,6
7850,6
7860,7
7870,8
7880,7
7890,9
7900,1
7910,3
7920,7
7930,9
7940,1
7950,5
7960,5
7970,4
7980,3
7990,10
8000,1
8010,8
8020,3
8030,6
8040,6
8050,13
8060,4
8070,5
8080,5
8090,3
8100,2
8110,11
8120,7
8130,5
8140,8
8150,4
8160,5
8170,7
8180,7
8190,6
8200,6
8210,6
8220,2
8230,10
8240,5
8250,5
8260,6
8270,7
8280,5
8290,6
8300,7
8310,8
8320,5
8330,2
8340,7
8350,10
8360,7
8370,6
8380,9
8390,5
8400,5
8410,6
8420,4
8430,4
8440,12
8450,2
8460,6
8470,5
8480,4
8490,0
8500,9
8510,5
8520,6
8530,5
8540,4
8550,1
8560,5
8570,4
8580,5
8590,6
8600,5
8610,2
8620,6
8630,1
8640,8
8650,4
8660,7
8670,3
8680,11
8690,2
8700,10
8710,8
8720,6
8730,2
8740,8
8750,1
8760,6
8770,10
8780,4
8790,2
8800,9
8810,4
8820,6
8830,8
8840,3
8850,1
8860,9
8870,3
8880,5
8890,9
8900,10
8910,4
8920,10
8930,2
8940,5
8950,4
8960,15
8970,4
8980,9
8990,6
9000,7
9010,6
9020,5
9030,3
9040,11
9050,6
9060,8
9070,9
9080,6
9090,3
9100,9
9110,4
9120,8
9130,7
9140,4
9150,0
9160,10
9170,3
9180,8
9190,9
9200,9
9210,1
9220,12
9230,2
9240,6
9250,6
9260,5
9270,0
9280,10
9290,7
9300,8
9310,4
9320,8
9330,2
9340,9
9350,5
9360,9
9370,7
9380,3
9390,0
9400,9
9410,1
9420,13
9430,4
9440,5
9450,2
9460,9
9470,1
9480,11
9490,6
9500,6
9510,1
9520,13
9530,6
9540,6
9550,13
9560,8
9570,0
9580,8
9590,9
9600,11
9610,13
9620,9
9630,2
9640,15
9650,7
9660,12
9670,4
9680,9
9690,4
9700,10
9710,3
9720,11
9730,8
9740,8
9750,9
9760,19
9770,5
9780,5
9790,12
9800,6
9810,4
9820,9
9830,2
9840,5
9850,9
9860,12
9870,3
9880,11
9890,4
9900,6
9910,8
9920,5
9930,2
9940,19
9950,6
9960,6
9970,6
9980,5
9990,2
10000,12
10010,5
10020,6
10030,7
10040,4
10050,1
10060,11
10070,7
10080,7
10090,6
10100,4
10110,1
10120,9
10130,5
10140,6
10150,7
10160,10
10170,0
10180,9
10190,6
10200,9
10210,5
10220,5
10230,0
10240,11
10250,6
10260,15
10270,6
10280,4
10290,1
10300,12
10310,3
10320,9
10330,8
10340,4
10350,0
10360,9
10370,5
10380,11
10390,10
10400,6
10410,0
10420,10
10430,2
10440,7
10450,7
10460,10
10470,1
10480,11
10490,4
10500,5
10510,5
10520,8
10530,1
10540,9
10550,7
10560,8
10570,7
10580,3
10590,4
10600,11
10610,3
10620,6
10630,4
10640,7
10650,5
10660,8
10670,2
10680,6
10690,7
10700,6
10710,6
10720,13
10730,6
10740,8
10750,6
10760,7
10770,0
10780,10
10790,5
10800,7
10810,5
10820,5
10830,0
10840,10
10850,6
10860,6
10870,10
10880,5
10890,2
10900,9
10910,8
10920,5
10930,10
10940,9
10950,1
10960,12
10970,3
10980,12
10990,5
11000,5
11010,2
11020,9
11030,2
11040,13
11050,8
11060,6
11070,4
11080,7
11090,6
11100,10
11110,7
11120,4
11130,0
11140,11
11150,4
11160,9
11170,10
11180,9
11190,1
11200,10
11210,4
11220,5
11230,5
11240,7
11250,3
11260,12
11270,4
11280,5
11290,3
11300,7
11310,2
11320,11
11330,5
11340,7
11350,7
11360,9
11370,3
11380,7
11390,6
11400,7
11410,4
11420,7
11430,5
11440,12
11450,3
11460,9
11470,8
11480,4
11490,2
11500,11
11510,4
11520,5
11530,4
11540,4
11550,3
11560,12
11570,2
11580,6
11590,5
11600,4
11610,0
11620,11
11630,8
11640,6
11650,7
11660,6
11670,1
11680,6
11690,8
11700,4
11710,5
11720,7
11730,1
11740,11
11750,4
11760,13
11770,7
11780,7
11790,2
11800,10
11810,6
11820,9
11830,4
11840,6
11850,2
11860,8
11870,8
11880,6
11890,7
11900,12
11910,3
11920,8
11930,8
11940,6
11950,12
11960,8
11970,4
11980,7
11990,7
12000,7
12010,10
12020,9
12030,4
12040,8
12050,3
12060,5
12070,8
12080,6
12090,2
12100,5
12110,1
12120,8
12130,7
12140,4
12150,4
12160,5
12170,3
12180,3
12190,7
12200,5
12210,3
12220,6
12230,5
12240,8
12250,8
12260,9
12270,4
12280,7
12290,1
12300,6
12310,6
12320,3
12330,2
12340,7
12350,4
12360,4
12370,8
12380,3
12390,4
12400,5
12410,8
12420,2
12430,6
12440,8
12450,5
