"Interval start","All Packets"
0,35
60,30
120,48
180,31
240,35
300,30
360,30
420,29
480,37
540,42
600,39
660,27
720,33
780,25
840,27
900,40
960,39
1020,34
1080,37
1140,37
1200,44
1260,28
1320,31
1380,33
1440,55
1500,42
1560,33
1620,27
1680,35
1740,38
1800,38
1860,31
1920,29
1980,36
2040,35
2100,39
2160,36
2220,27
2280,35
2340,41
2400,33
2460,30
2520,31
2580,45
2640,30
2700,37
2760,35
2820,32
2880,35
2940,31
3000,25
3060,31
3120,23
3180,26
3240,33
3300,27
3360,36
3420,31
3480,34
3540,38
3600,37
3660,44
3720,30
3780,26
3840,31
3900,33
3960,29
4020,28
4080,27
4140,38
4200,32
4260,33
4320,42
4380,28
4440,24
4500,29
4560,35
4620,36
4680,39
4740,33
4800,35
4860,35
4920,34
4980,33
5040,34
5100,31
5160,29
5220,31
5280,34
5340,31
5400,29
5460,28
5520,27
5580,22
5640,32
5700,33
5760,29
5820,33
5880,28
5940,39
6000,30
6060,27
6120,29
6180,33
6240,27
6300,30
6360,33
6420,25
6480,40
6540,33
6600,26
6660,38
6720,29
6780,38
6840,40
6900,46
6960,33
7020,33
7080,55
7140,35
7200,39
7260,28
7320,33
7380,43
7440,38
7500,31
7560,33
7620,28
7680,34
7740,41
7800,32
7860,35
7920,31
7980,31
8040,36
8100,37
8160,37
8220,35
8280,33
8340,44
8400,33
8460,29
8520,25
8580,25
8640,35
8700,35
8760,35
8820,30
8880,40
8940,43
9000,38
9060,39
9120,32
9180,41
9240,34
9300,36
9360,29
9420,34
9480,43
9540,44
9600,57
9660,42
9720,60
9780,38
9840,44
9900,46
9960,36
10020,36
10080,32
10140,38
10200,36
10260,41
10320,35
10380,39
10440,40
10500,35
10560,36
10620,32
10680,44
10740,36
10800,33
10860,40
10920,40
10980,35
11040,44
11100,36
11160,43
11220,36
11280,33
11340,39
11400,38
11460,38
11520,30
11580,34
11640,34
11700,32
11760,45
11820,37
11880,44
11940,44
12000,41
12060,27
12120,31
12180,29
12240,37
12300,28
12360,32
12420,21
