"Interval start","All Packets"
0,119
10,168
20,152
30,168
40,154
50,160
60,108
70,157
80,148
90,93
100,137
110,208
120,239
130,205
140,149
150,155
160,176
170,165
180,100
190,176
200,119
210,121
220,214
230,182
240,78
250,187
260,147
270,192
280,149
290,142
300,95
310,162
320,164
330,94
340,168
350,180
360,98
370,168
380,168
390,149
400,164
410,140
420,99
430,139
440,164
450,100
460,125
470,189
480,96
490,165
500,149
510,217
520,189
530,141
540,106
550,145
560,142
570,166
580,160
590,186
600,92
610,141
620,159
630,136
640,211
650,181
660,86
670,142
680,136
690,94
700,201
710,175
720,85
730,151
740,177
750,155
760,211
770,178
780,93
790,134
800,146
810,87
820,158
830,202
840,112
850,139
860,149
870,201
880,190
890,179
900,91
910,143
920,130
930,117
940,149
950,223
960,91
970,154
980,141
990,159
1000,143
1010,173
1020,127
1030,144
1040,117
1050,90
1060,200
1070,182
1080,109
1090,156
1100,155
1110,168
1120,188
1130,143
1140,106
1150,188
1160,128
1170,135
1180,179
1190,198
1200,78
1210,176
1220,155
1230,125
1240,202
1250,154
1260,105
1270,169
1280,115
1290,103
1300,172
1310,200
1320,81
1330,154
1340,169
1350,121
1360,146
1370,141
1380,96
1390,139
1400,180
1410,82
1420,179
1430,171
1440,103
1450,149
1460,204
1470,180
1480,134
1490,149
1500,130
1510,133
1520,136
1530,127
1540,151
1550,169
1560,90
1570,121
1580,188
1590,159
1600,188
1610,136
1620,117
1630,130
1640,140
1650,131
1660,142
1670,173
1680,94
1690,129
1700,163
1710,127
1720,243
1730,121
1740,100
1750,147
1760,133
1770,106
1780,246
1790,185
1800,109
1810,151
1820,186
1830,156
1840,189
1850,140
1860,97
1870,137
1880,134
1890,80
1900,157
1910,199
1920,117
1930,130
1940,144
1950,131
1960,198
1970,169
1980,104
1990,129
2000,149
2010,99
2020,223
2030,186
2040,123
2050,127
2060,164
2070,145
2080,183
2090,123
2100,134
2110,146
2120,130
2130,100
2140,189
2150,176
2160,129
2170,151
2180,159
2190,144
2200,174
2210,142
2220,127
2230,159
2240,140
2250,95
2260,144
2270,167
2280,86
2290,173
2300,179
2310,136
2320,211
2330,140
2340,99
2350,149
2360,137
2370,112
2380,144
2390,177
2400,115
2410,142
2420,212
2430,119
2440,173
2450,138
2460,102
2470,135
2480,176
2490,89
2500,195
2510,197
2520,105
2530,137
2540,204
2550,240
2560,191
2570,149
2580,114
2590,145
2600,150
2610,115
2620,167
2630,175
2640,92
2650,148
2660,158
2670,182
2680,200
2690,127
2700,114
2710,129
2720,160
2730,112
2740,174
2750,187
2760,79
2770,143
2780,149
2790,163
2800,188
2810,154
2820,103
2830,132
2840,154
2850,87
2860,196
2870,177
2880,93
2890,144
2900,170
2910,134
2920,213
2930,164
2940,103
2950,162
2960,125
2970,106
2980,155
2990,224
3000,91
3010,118
3020,165
3030,138
3040,183
3050,159
3060,97
3070,148
3080,169
3090,108
3100,146
3110,163
3120,125
3130,129
3140,156
3150,142
3160,151
3170,148
3180,140
3190,159
3200,136
3210,87
3220,201
3230,173
3240,96
3250,144
3260,125
3270,173
3280,166
3290,140
3300,99
3310,163
3320,144
3330,71
3340,129
3350,180
3360,99
3370,163
3380,148
3390,141
3400,196
3410,145
3420,94
3430,149
3440,151
3450,107
3460,170
3470,189
3480,118
3490,127
3500,192
3510,153
3520,177
3530,125
3540,85
3550,152
3560,188
3570,115
3580,189
3590,164
3600,114
3610,154
3620,165
3630,155
3640,169
3650,150
3660,97
3670,155
3680,143
3690,105
3700,146
3710,194
3720,94
3730,125
3740,133
3750,169
3760,187
3770,140
3780,109
3790,132
3800,177
3810,78
3820,264
3830,158
3840,79
3850,172
3860,157
3870,144
3880,172
3890,157
3900,110
3910,152
3920,139
3930,101
3940,191
3950,197
3960,87
3970,141
3980,156
3990,133
4000,171
4010,155
4020,96
4030,133
4040,126
4050,101
4060,143
4070,212
4080,111
4090,126
4100,153
4110,141
4120,183
4130,179
4140,93
4150,156
4160,150
4170,95
4180,172
4190,166
4200,165
4210,119
4220,154
4230,120
4240,153
4250,134
4260,139
4270,140
4280,127
4290,70
4300,181
4310,201
4320,120
4330,149
4340,142
4350,143
4360,169
4370,157
4380,102
4390,152
4400,156
4410,75
4420,139
4430,169
4440,120
4450,174
4460,199
4470,151
4480,196
4490,119
4500,122
4510,152
4520,147
4530,73
4540,164
4550,172
4560,101
4570,149
4580,196
4590,134
4600,180
4610,127
4620,102
4630,134
4640,166
4650,100
4660,206
4670,175
4680,111
4690,136
4700,163
4710,181
4720,199
4730,160
4740,84
4750,157
4760,160
4770,122
4780,155
4790,216
4800,101
4810,161
4820,139
4830,195
4840,198
4850,147
4860,89
4870,142
4880,167
4890,61
4900,218
4910,182
4920,109
4930,156
4940,172
4950,166
4960,184
4970,137
4980,95
4990,113
5000,166
5010,85
5020,186
5030,201
5040,95
5050,148
5060,174
5070,147
5080,171
5090,178
5100,119
5110,136
5120,164
5130,98
5140,139
5150,220
5160,108
5170,114
5180,165
5190,177
5200,189
5210,139
5220,122
5230,146
5240,151
5250,90
5260,151
5270,174
5280,148
5290,149
5300,163
5310,138
5320,200
5330,152
5340,137
5350,147
5360,151
5370,58
5380,211
5390,187
5400,100
5410,200
5420,172
