"Interval start","All Packets"
0,921
60,851
120,1089
180,912
240,895
300,863
360,887
420,816
480,957
540,905
600,920
660,834
720,957
780,820
840,970
900,853
960,861
1020,860
1080,919
1140,934
1200,890
1260,864
1320,812
1380,847
1440,919
1500,846
1560,882
1620,833
1680,877
1740,917
1800,931
1860,804
1920,889
1980,890
2040,865
2100,875
2160,899
2220,832
2280,925
2340,818
2400,899
2460,894
2520,1026
2580,866
2640,907
2700,876
2760,876
2820,849
2880,918
2940,875
3000,854
3060,831
3120,851
3180,896
3240,844
3300,786
3360,892
3420,860
3480,892
3540,893
3600,907
3660,840
3720,848
3780,918
3840,881
3900,890
3960,843
4020,811
4080,893
4140,832
4200,845
4260,858
4320,880
4380,793
4440,959
4500,830
4560,887
4620,883
4680,950
4740,894
4800,941
4860,859
4920,924
4980,846
5040,913
5100,876
5160,892
5220,834
5280,950
5340,891
5400,982
5460,857
5520,920
5580,906
5640,857
5700,874
5760,932
5820,816
5880,936
5940,826
6000,921
6060,888
6120,1002
6180,877
6240,885
6300,885
6360,903
6420,859
6480,951
6540,844
6600,904
6660,868
6720,923
6780,860
6840,937
6900,993
6960,960
7020,813
7080,1041
7140,849
7200,901
7260,853
7320,893
7380,942
7440,880
7500,864
7560,931
7620,812
7680,899
7740,897
7800,895
7860,883
7920,891
7980,894
8040,961
8100,832
8160,958
8220,912
8280,920
8340,822
8400,918
8460,884
8520,836
8580,852
8640,870
8700,815
8760,896
8820,845
8880,886
8940,871
9000,879
9060,871
9120,853
9180,918
9240,851
9300,826
9360,893
9420,786
9480,905
9540,836
9600,888
9660,865
9720,1052
9780,860
9840,923
9900,854
9960,815
10020,853
10080,888
10140,850
10200,864
10260,849
10320,854
10380,897
10440,856
10500,788
10560,900
10620,813
10680,945
10740,863
10800,855
10860,845
10920,889
10980,852
11040,914
11100,882
11160,888
11220,832
11280,867
11340,892
11400,845
11460,828
11520,866
11580,893
11640,982
11700,863
11760,876
11820,841
11880,947
11940,828
12000,968
12060,888
12120,901
12180,840
12240,952
12300,851
12360,958
12420,468
