"Interval start","All Packets"
0,5
0.5,5
1,4
1.5,3
2,6
2.5,9
3,5
3.5,4
4,19
4.5,3
5,11
5.5,3
6,1
6.5,3
7,6
7.5,12
8,14
8.5,1
9,1
9.5,4
10,6
10.5,8
11,8
11.5,30
12,29
12.5,6
13,8
13.5,2
14,1
14.5,4
15,9
15.5,2
16,13
16.5,3
17,8
17.5,4
18,9
18.5,10
19,2
19.5,6
20,3
20.5,1
21,8
21.5,5
22,1
22.5,4
23,4
23.5,1
24,3
24.5,5
25,7
25.5,5
26,5
26.5,31
27,21
27.5,4
28,5
28.5,19
29,11
29.5,9
30,13
30.5,8
31,12
31.5,8
32,1
32.5,6
33,2
33.5,9
34,4
34.5,5
35,6
35.5,5
36,2
36.5,9
37,18
37.5,10
38,3
38.5,5
39,18
39.5,24
40,3
40.5,8
41,3
41.5,33
42,25
42.5,7
43,3
43.5,7
44,1
44.5,4
45,6
45.5,3
46,14
46.5,8
47,2
47.5,3
48,6
48.5,4
49,8
49.5,6
50,4
50.5,2
51,11
51.5,11
52,1
52.5,5
53,2
53.5,1
54,5
54.5,2
55,10
55.5,2
56,10
56.5,34
57,35
57.5,4
58,4
58.5,2
59,0
59.5,15
60,6
60.5,1
61,2
61.5,12
62,7
62.5,5
63,2
63.5,6
64,3
64.5,2
65,13
65.5,1
66,1
66.5,5
67,2
67.5,19
68,3
68.5,7
69,2
69.5,9
70,6
70.5,7
71,12
71.5,36
72,23
72.5,6
73,5
73.5,1
74,0
74.5,2
75,11
75.5,3
76,7
76.5,7
77,11
77.5,6
78,4
78.5,4
79,5
79.5,1
80,21
80.5,5
81,4
81.5,8
82,0
82.5,3
83,2
83.5,3
84,1
84.5,2
85,5
85.5,6
86,4
86.5,34
87,25
87.5,12
88,1
88.5,4
89,2
89.5,6
90,3
90.5,12
91,2
91.5,3
92,1
92.5,3
93,2
93.5,2
94,6
94.5,1
95,6
95.5,4
96,7
96.5,13
97,12
97.5,7
98,2
98.5,1
99,2
99.5,4
100,3
100.5,9
101,13
101.5,28
102,26
102.5,5
103,3
103.5,1
104,1
104.5,4
105,3
105.5,8
106,3
106.5,6
107,2
107.5,3
108,6
108.5,3
109,3
109.5,7
110,4
110.5,2
111,32
111.5,7
112,10
112.5,13
113,12
113.5,4
114,12
114.5,4
115,8
115.5,9
116,5
116.5,32
117,32
117.5,7
118,2
118.5,3
