"Interval start","All Packets"
0,1
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,92
181,173
182,160
183,90
184,101
185,158
186,178
187,124
188,114
189,304
190,171
191,132
192,12348
193,17496
194,16750
195,19523
196,21317
197,17624
198,19249
199,19512
200,18776
201,17979
202,21878
203,17307
204,13988
205,19235
206,19587
207,20116
208,21684
209,20520
210,15940
211,20854
212,20363
213,16639
214,20106
215,21869
216,23479
217,18922
218,23879
219,22411
220,23507
221,21165
222,22707
223,20356
224,20829
225,19749
226,23580
227,21566
228,20852
229,18748
230,18080
231,22058
232,23088
233,20705
234,22488
235,20695
236,20836
237,16358
238,15973
239,17209
240,14689
241,16752
242,20084
243,21364
244,19173
245,18059
246,16241
247,19850
248,22198
249,22515
250,19913
251,20591
252,20630
253,16387
254,16791
255,20275
256,21786
257,19446
258,17758
259,20676
260,14787
261,21800
262,20742
263,22808
264,19600
265,19203
266,20695
267,22124
268,20620
269,19786
270,15070
271,14547
272,18096
273,15447
274,20330
275,20568
276,20401
277,19551
278,18858
279,16100
280,17952
281,21822
282,18372
283,18403
284,21031
285,21360
286,22258
287,19968
288,18030
289,20121
290,19942
291,17380
292,20650
293,20681
294,22037
295,21255
296,18285
297,16354
298,20888
299,16934
300,15869
301,19906
302,23007
303,20028
304,17969
305,17883
306,18191
307,21972
308,20225
309,21340
310,13293
311,20475
312,17910
313,16395
314,15978
315,18968
316,21563
317,14605
318,16964
319,18140
320,19602
321,16678
