"Interval start","All Packets"
0,1
1,0
2,0
3,1
4,0
5,4
6,3
7,0
8,0
9,4
10,3
11,0
12,0
13,2
14,0
15,0
16,2
17,0
18,5
19,0
20,0
21,2
22,5
23,4
24,0
25,6
26,21
27,0
28,0
29,0
30,0
31,13
32,3
33,0
34,0
35,29
36,2
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,3
45,9
46,2
47,59
48,0
49,0
50,0
51,0
52,1
53,1
54,0
55,0
56,0
57,0
58,0
59,2
60,0
61,0
62,6
63,0
64,0
65,3
66,1
67,2
68,0
69,0
70,0
71,2
72,0
73,0
74,1
75,0
76,0
77,0
78,1
79,0
80,0
81,0
82,1
83,0
84,0
85,3
86,4
87,1
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,2
97,4
98,4
99,4
100,4
101,1
102,1
103,0
104,0
105,4
106,3
107,40
108,0
109,0
110,1
111,0
112,1
113,0
114,2
115,0
116,0
117,0
118,0
119,0
120,0
121,8
122,0
123,0
124,0
125,5
126,1
127,1
128,0
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,1
137,0
138,0
139,0
140,0
141,1
142,0
143,5
144,0
145,4
146,2
147,2
148,0
149,0
150,0
151,9
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,1
165,8
166,0
167,41
168,0
169,0
170,0
171,2
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,1
180,1
181,0
182,1
183,0
184,0
185,4
186,1
187,0
188,0
189,0
190,4
191,0
192,1
193,0
194,0
195,0
196,2
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,6
206,3
207,3
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,1
216,0
217,4
218,4
219,4
220,8
221,2
222,0
223,0
224,1
225,18
226,1
227,36
228,8
229,0
230,1
231,0
232,0
233,2
234,0
235,1
236,2
237,0
238,0
239,2
240,1
241,0
242,0
243,1
244,2
245,5
246,3
247,6
248,0
249,0
250,2
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,1
260,2
261,1
262,0
263,0
264,0
265,4
266,1
267,0
268,4
269,18
270,2
271,2
272,7
273,1
274,1
275,0
276,2
277,0
278,0
279,12
280,0
281,0
282,0
283,0
284,0
285,7
286,0
287,48
288,1
289,1
290,0
291,0
292,0
293,0
294,0
295,0
296,1
297,1
298,0
299,0
300,2
