"Interval start","Filtered packets"
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,2
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,0
8.2,0
8.3,0
8.4,0
8.5,0
8.6,0
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,77
9.3,102
9.4,94
9.5,79
9.6,92
9.7,88
9.8,96
9.9,89
10,86
10.1,87
10.2,96
10.3,94
10.4,100
10.5,95
10.6,89
10.7,101
10.8,89
10.9,97
11,87
11.1,96
11.2,94
11.3,100
11.4,89
11.5,94
11.6,90
11.7,105
11.8,99
11.9,104
12,81
12.1,106
12.2,105
12.3,111
12.4,100
12.5,92
12.6,92
12.7,100
12.8,99
12.9,95
13,82
13.1,88
13.2,101
13.3,90
13.4,94
13.5,93
13.6,98
13.7,98
13.8,99
13.9,102
14,97
14.1,102
14.2,120
14.3,90
14.4,90
14.5,87
14.6,82
14.7,107
14.8,96
14.9,98
15,100
15.1,96
15.2,92
15.3,87
15.4,81
15.5,95
15.6,94
15.7,95
15.8,96
15.9,93
16,95
16.1,109
16.2,108
16.3,100
16.4,95
16.5,95
16.6,99
16.7,88
16.8,98
16.9,96
17,94
17.1,96
17.2,94
17.3,84
17.4,95
17.5,95
17.6,92
17.7,91
17.8,104
17.9,100
18,99
18.1,93
18.2,98
18.3,93
18.4,111
18.5,123
18.6,94
18.7,94
18.8,157
18.9,94
19,79
19.1,95
19.2,98
19.3,96
19.4,92
19.5,103
19.6,94
19.7,94
19.8,94
19.9,101
20,88
20.1,95
20.2,81
20.3,141
20.4,98
20.5,103
20.6,98
20.7,97
20.8,102
20.9,95
21,97
21.1,87
21.2,117
21.3,95
21.4,97
21.5,92
21.6,92
21.7,97
21.8,101
21.9,92
22,98
22.1,128
22.2,4
