"Interval start","Filtered packets"
0,2
1,2
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,2
12,1
13,0
14,2
15,0
16,0
17,1
18,0
19,0
20,1
21,2
22,0
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,14
45,21
46,17
47,15
48,21
49,11
50,11
51,24
52,24
53,21
54,8
55,25
56,25
57,16
58,15
59,34
60,13
61,49
62,1
63,51
64,27
65,24
66,18
67,4
68,31
69,16
70,26
71,0
72,21
73,23
74,15
75,8
76,8
77,19
78,26
79,24
80,18
81,34
82,10
83,8
84,0
85,2
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,0
109,0
110,1
111,0
112,0
113,0
114,1
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,1
125,0
126,1
127,0
128,0
129,0
130,1
131,0
132,0
133,0
134,0
135,2
136,1
137,0
138,0
139,1
140,0
141,2
142,14
143,0
144,2
145,0
146,0
147,1
148,1
149,0
150,2
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,3
170,6
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,3
183,12
184,15
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,1
195,1
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,1
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,1
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,2
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,1
260,0
261,0
262,0
263,0
264,1
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,1
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,666
284,526
285,0
286,1
287,0
288,0
289,0
290,0
291,0
292,0
293,10
294,0
295,0
296,0
297,0
298,1
