"Interval start","All Packets"
0,10
0.5,1
1,14
1.5,3
2,10
2.5,4
3,10
3.5,154
4,105
4.5,91
5,122
5.5,101
6,86
6.5,40
7,40
7.5,65
8,81
8.5,86
9,138
9.5,125
10,103
10.5,97
11,73
11.5,71
12,70
12.5,169
13,423
13.5,587
14,749
14.5,645
15,138
15.5,145
16,146
16.5,175
17,208
17.5,166
18,320
18.5,144
19,100
19.5,160
20,130
20.5,178
21,216
21.5,150
22,317
22.5,98
23,207
23.5,120
24,171
24.5,182
25,136
25.5,143
26,172
26.5,16
27,18
27.5,650
28,165
28.5,167
29,177
29.5,215
30,290
30.5,19
31,16
31.5,496
32,196
32.5,172
33,204
33.5,211
34,271
34.5,122
35,114
35.5,190
36,159
36.5,153
37,147
37.5,251
38,288
38.5,123
39,155
39.5,135
40,165
40.5,163
41,203
41.5,269
42,311
42.5,143
43,116
43.5,111
44,212
44.5,149
45,188
45.5,159
46,275
46.5,228
47,100
47.5,121
48,198
48.5,168
49,197
49.5,172
50,367
50.5,306
51,108
51.5,167
52,151
52.5,160
53,219
53.5,155
54,405
54.5,172
55,120
55.5,177
56,234
56.5,257
57,216
57.5,178
58,106
58.5,215
59,260
59.5,190
60,269
60.5,320
61,82
61.5,115
62,125
62.5,113
63,278
63.5,276
64,258
64.5,412
65,258
65.5,477
66,134
66.5,661
67,91
67.5,112
68,138
68.5,239
69,106
69.5,104
70,133
70.5,247
71,176
71.5,245
72,188
72.5,288
73,62
73.5,4
74,4
74.5,6
75,13
75.5,4
76,2
76.5,10
77,8
77.5,4
78,9
78.5,32
79,328
79.5,106
80,101
80.5,160
81,134
81.5,249
82,213
82.5,181
83,281
83.5,124
84,156
84.5,132
85,201
85.5,177
86,190
86.5,180
87,303
87.5,120
88,160
88.5,284
89,302
89.5,176
90,169
90.5,138
91,215
91.5,74
92,164
92.5,145
93,178
93.5,300
94,53
94.5,2
95,8
95.5,1
96,9
96.5,0
97,8
97.5,2
98,2
98.5,2
99,12
99.5,6
100,2
100.5,3
101,13
101.5,34
102,25
102.5,125
103,109
103.5,132
104,121
104.5,413
105,270
105.5,298
106,360
106.5,393
107,426
107.5,280
108,225
108.5,256
109,328
109.5,280
110,299
110.5,318
111,322
111.5,331
112,354
112.5,353
113,367
113.5,383
114,372
114.5,377
115,370
115.5,379
116,358
116.5,377
117,363
117.5,380
118,363
118.5,359
119,387
119.5,365
120,396
120.5,370
121,371
121.5,370
122,383
122.5,403
123,362
123.5,370
124,364
124.5,367
125,371
125.5,391
126,380
126.5,371
127,369
127.5,377
128,362
128.5,397
129,369
129.5,386
130,367
130.5,369
131,352
131.5,408
132,373
132.5,386
133,370
133.5,358
134,354
134.5,404
135,370
135.5,370
136,367
136.5,362
137,382
137.5,397
138,380
138.5,361
139,362
139.5,368
140,381
140.5,398
141,373
141.5,380
142,381
142.5,382
143,341
143.5,359
144,430
144.5,381
145,370
145.5,453
146,501
146.5,377
147,439
147.5,620
148,430
148.5,454
149,516
149.5,578
150,508
150.5,533
151,617
151.5,752
152,488
152.5,493
153,484
153.5,534
154,484
154.5,542
155,551
155.5,708
156,474
156.5,457
157,520
157.5,516
158,559
158.5,632
159,506
159.5,733
160,452
160.5,473
161,454
161.5,614
162,528
162.5,634
163,452
163.5,716
164,461
164.5,585
165,445
165.5,560
166,559
166.5,643
167,593
167.5,647
168,701
168.5,635
169,576
169.5,683
170,600
170.5,522
171,653
171.5,557
172,462
172.5,503
173,657
173.5,508
174,509
174.5,506
175,489
175.5,683
176,554
176.5,580
177,513
177.5,544
178,557
178.5,463
179,653
179.5,666
