"Interval start","All Packets"
0,11
1,17
2,14
3,164
4,196
5,223
6,126
7,105
8,167
9,263
10,200
11,144
12,239
13,1010
14,1394
15,283
16,321
17,374
18,464
19,260
20,308
21,366
22,415
23,327
24,353
25,279
26,188
27,668
28,332
29,392
30,309
31,512
32,368
33,415
34,393
35,304
36,312
37,398
38,411
39,290
40,328
41,472
42,454
43,227
44,361
45,347
46,503
47,221
48,366
49,369
50,673
51,275
52,311
53,374
54,577
55,297
56,491
57,394
58,321
59,450
60,589
61,197
62,238
63,554
64,670
65,735
66,795
67,203
68,377
69,210
70,380
71,421
72,476
73,66
74,10
75,17
76,12
77,12
78,41
79,434
80,261
81,383
82,394
83,405
84,288
85,378
86,370
87,423
88,444
89,478
90,307
91,289
92,309
93,478
94,55
95,9
96,9
97,10
98,4
99,18
100,5
101,47
102,32
103,14
104,295
105,210
106,399
107,485
108,250
109,325
110,372
111,388
112,448
113,557
114,572
115,641
116,676
117,722
118,754
119,749
120,735
121,740
122,752
123,746
124,761
125,741
126,747
127,762
128,739
129,740
130,765
131,753
132,746
133,762
134,754
135,718
136,777
137,751
138,712
139,761
140,751
141,742
142,801
143,728
144,754
145,860
146,919
147,977
148,952
149,1071
150,1033
151,1370
152,949
153,1008
154,1060
155,1221
156,941
157,1076
158,1153
159,1229
160,883
161,1111
162,1160
163,1221
164,1003
165,1011
166,1241
167,1205
168,1332
169,1298
170,1153
171,1145
172,989
173,1198
174,985
175,1228
176,1064
177,1041
178,1056
179,1250
180,1063
181,1103
182,1030
183,1291
184,1054
185,1086
186,1096
187,1174
188,1012
189,1063
190,1076
191,1244
192,986
193,991
194,1111
195,1235
196,917
197,1043
198,1101
199,1235
200,900
201,1007
202,1040
203,956
204,890
205,24
206,212
207,288
208,405
209,264
210,193
211,114
212,124
213,89
214,8
215,4
216,2
217,4
218,4
219,4
220,4
221,31
222,12
223,4
224,2
225,4
226,0
227,2
228,2
229,0
230,1
231,0
232,6
233,0
234,0
235,0
236,1
237,2
238,2
239,0
240,2
241,0
242,8
243,0
244,0
245,0
246,1
247,0
248,3
249,2
250,4
251,3
252,8
253,1
254,0
255,0
256,0
257,2
258,0
259,0
260,0
261,0
262,14
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,19
273,2
274,0
275,0
276,0
277,0
278,2
279,1
280,0
281,79
282,8
283,2
284,0
285,0
286,0
287,0
288,1
289,0
290,0
291,5
292,11
