"Interval start","Filtered packets"
0,30
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,28
1.8,129
1.9,73
2,0
2.1,0
2.2,55
2.3,60
2.4,0
2.5,0
2.6,0
2.7,94
2.8,5
2.9,0
3,0
3.1,0
3.2,0
3.3,9
3.4,143
3.5,152
3.6,35
3.7,78
3.8,0
3.9,0
4,209
4.1,131
4.2,126
4.3,225
4.4,232
4.5,199
4.6,271
4.7,240
4.8,337
4.9,209
5,186
5.1,252
5.2,275
5.3,68
5.4,41
5.5,177
5.6,130
5.7,253
5.8,352
5.9,311
6,247
6.1,208
6.2,223
6.3,304
6.4,171
6.5,197
6.6,333
6.7,273
6.8,11
6.9,356
7,235
7.1,142
7.2,240
7.3,178
7.4,328
7.5,286
7.6,190
7.7,44
7.8,45
7.9,82
8,173
8.1,193
8.2,254
8.3,161
8.4,121
8.5,388
8.6,220
8.7,226
8.8,199
8.9,217
9,146
9.1,188
9.2,351
9.3,162
9.4,207
9.5,234
9.6,62
9.7,137
9.8,196
9.9,284
10,109
10.1,5
10.2,136
10.3,192
10.4,205
10.5,20
10.6,82
10.7,97
10.8,57
10.9,156
11,151
11.1,78
11.2,5
11.3,87
11.4,62
11.5,36
11.6,123
11.7,191
11.8,95
11.9,82
12,58
12.1,38
12.2,39
12.3,107
12.4,95
12.5,32
12.6,48
12.7,54
12.8,118
12.9,75
13,0
13.1,169
13.2,184
13.3,21
13.4,144
13.5,4
13.6,49
13.7,141
13.8,0
13.9,116
14,12
14.1,95
14.2,161
14.3,0
14.4,2
14.5,151
14.6,54
14.7,0
14.8,135
14.9,22
15,41
15.1,134
15.2,108
15.3,0
15.4,2
15.5,78
15.6,81
15.7,40
15.8,124
15.9,0
16,78
16.1,39
16.2,93
16.3,5
16.4,2
16.5,126
16.6,56
16.7,3
16.8,105
16.9,0
17,0
17.1,47
17.2,81
17.3,5
17.4,7
17.5,101
17.6,49
17.7,0
17.8,30
17.9,120
18,87
18.1,0
18.2,58
18.3,12
18.4,106
18.5,198
18.6,44
18.7,14
18.8,84
18.9,129
19,33
19.1,0
19.2,105
19.3,141
19.4,33
19.5,89
19.6,18
19.7,160
19.8,51
19.9,216
20,67
20.1,5
20.2,12
20.3,144
20.4,59
20.5,75
20.6,156
20.7,76
20.8,8
20.9,98
21,102
21.1,0
21.2,56
21.3,131
21.4,0
21.5,1
21.6,19
21.7,0
21.8,0
21.9,0
22,0
22.1,0
22.2,0
22.3,0
22.4,0
22.5,0
22.6,0
22.7,0
22.8,0
22.9,0
23,0
23.1,0
23.2,0
23.3,0
23.4,0
23.5,0
23.6,0
23.7,0
23.8,0
23.9,83
24,1
24.1,2
24.2,83
24.3,75
24.4,0
24.5,0
24.6,151
24.7,0
24.8,81
24.9,0
25,0
25.1,77
25.2,80
25.3,54
25.4,173
25.5,0
25.6,0
25.7,76
25.8,155
25.9,0
26,0
26.1,0
26.2,0
26.3,0
26.4,0
26.5,0
26.6,0
26.7,0
26.8,0
26.9,0
27,0
27.1,0
27.2,0
27.3,0
27.4,0
27.5,0
27.6,0
27.7,0
27.8,0
27.9,45
28,31
28.1,0
28.2,0
28.3,0
28.4,0
28.5,0
28.6,57
28.7,91
28.8,0
28.9,0
29,0
29.1,0
29.2,0
29.3,0
29.4,0
29.5,0
29.6,154
29.7,0
29.8,150
29.9,0
30,236
30.1,0
30.2,152
30.3,0
30.4,0
30.5,0
30.6,0
30.7,0
30.8,0
30.9,305
31,0
31.1,0
31.2,0
31.3,0
31.4,0
31.5,156
31.6,80
31.7,0
31.8,0
31.9,0
32,0
32.1,0
32.2,0
32.3,0
32.4,0
32.5,0
32.6,0
32.7,0
32.8,0
32.9,0
33,71
33.1,0
33.2,0
33.3,0
33.4,0
33.5,0
33.6,77
33.7,71
33.8,45
33.9,31
34,82
34.1,0
34.2,0
34.3,0
34.4,73
34.5,0
34.6,0
34.7,0
34.8,81
34.9,0
35,0
35.1,0
35.2,83
35.3,73
35.4,159
35.5,60
35.6,16
35.7,0
35.8,163
35.9,5
36,0
36.1,0
36.2,0
36.3,0
36.4,0
36.5,150
36.6,114
36.7,31
36.8,152
36.9,0
37,0
37.1,0
37.2,116
37.3,41
37.4,0
37.5,303
37.6,159
37.7,0
37.8,0
37.9,0
38,152
38.1,0
38.2,0
38.3,125
38.4,93
38.5,0
38.6,0
38.7,144
38.8,0
38.9,0
39,0
39.1,0
39.2,0
39.3,0
39.4,0
39.5,0
39.6,156
39.7,304
39.8,0
39.9,140
40,149
40.1,0
40.2,0
40.3,35
40.4,117
40.5,0
40.6,61
40.7,178
40.8,225
40.9,0
41,0
41.1,76
41.2,148
41.3,157
41.4,153
41.5,0
41.6,0
41.7,0
41.8,0
41.9,0
42,0
42.1,0
42.2,150
42.3,0
42.4,0
42.5,79
42.6,141
42.7,0
42.8,0
42.9,0
43,0
43.1,0
43.2,0
43.3,0
43.4,152
43.5,0
43.6,159
43.7,148
43.8,153
43.9,3
44,461
44.1,0
44.2,153
44.3,0
44.4,0
44.5,155
44.6,0
44.7,0
44.8,0
44.9,0
45,53
45.1,98
45.2,15
45.3,146
45.4,0
45.5,0
45.6,0
45.7,221
45.8,0
45.9,161
46,0
46.1,0
46.2,0
46.3,0
46.4,89
46.5,123
46.6,166
46.7,0
46.8,0
46.9,142
47,4
47.1,0
47.2,0
47.3,0
47.4,152
47.5,0
47.6,0
47.7,0
47.8,0
47.9,0
48,160
48.1,174
48.2,137
48.3,138
48.4,12
48.5,153
48.6,43
48.7,267
48.8,0
48.9,78
49,0
49.1,0
49.2,0
49.3,332
49.4,155
49.5,13
49.6,140
49.7,152
49.8,1
49.9,0
50,0
50.1,0
