"Interval start","Filtered packets"
0,30
1,230
2,214
3,417
4,2179
5,2045
6,2323
7,1770
8,2152
9,1967
10,1059
11,910
12,664
13,828
14,632
15,608
16,507
17,440
18,732
19,846
20,700
21,309
22,0
23,83
24,393
25,615
26,0
27,45
28,179
29,304
30,693
31,236
32,0
33,295
34,236
35,559
36,447
37,619
38,514
39,600
40,765
41,534
42,370
43,615
44,769
45,694
46,520
47,156
48,1162
49,793
50,299
51,846
52,734
53,907
54,453
55,944
56,490
57,764
58,604
59,903
60,473
61,1231
62,470
63,473
64,751
65,705
66,343
67,447
68,881
69,387
70,489
71,660
72,843
73,772
74,451
75,619
76,1266
77,307
78,535
79,1009
80,701
81,975
82,578
83,1239
84,910
85,1174
86,546
87,752
88,1167
89,835
90,629
91,1214
92,468
93,1008
94,751
95,827
96,1199
97,855
98,383
99,1236
100,761
101,866
102,588
103,642
104,632
105,162
106,871
107,607
108,461
109,848
110,1170
111,1341
112,1049
113,1027
114,895
115,1024
116,1248
117,1054
118,1046
119,995
120,1096
121,897
122,897
123,1452
124,424
125,0
126,3
